Refinery Configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Total Avoided CO2,kt/y","Marginal Abatement Cost, $/t"
Deep Conversion: FCC & GO-HC (6),6,Others,2050,1,MEDIUM,HEAVY,SOUR,29.07110778,421.4920302
Hydroskimming Configuration (0),0,ADU/VDU,2050,2,MEDIUM,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,CNR,2050,2,MEDIUM,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,FCC,2050,2,MEDIUM,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,Coker,2050,2,MEDIUM,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,Hydrotreater,2050,2,MEDIUM,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,Steam Boiler,2050,2,MEDIUM,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,SMR,2050,2,MEDIUM,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,Others,2050,2,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion:  FCC (1),1,ADU/VDU,2050,2,MEDIUM,HEAVY,SOUR,565.9836741,215.3312706
Medium Conversion:  FCC (1),1,CNR,2050,2,MEDIUM,HEAVY,SOUR,178.6951786,244.9299248
Medium Conversion:  FCC (1),1,FCC,2050,2,MEDIUM,HEAVY,SOUR,528.1666234,144.3001018
Medium Conversion:  FCC (1),1,Coker,2050,2,MEDIUM,HEAVY,SOUR,260.9165012,233.366822
Medium Conversion:  FCC (1),1,Hydrotreater,2050,2,MEDIUM,HEAVY,SOUR,683.5552816,211.3440749
Medium Conversion:  FCC (1),1,Steam Boiler,2050,2,MEDIUM,HEAVY,SOUR,42.46751615,319.143432
Medium Conversion:  FCC (1),1,SMR,2050,2,MEDIUM,HEAVY,SOUR,233.9550984,191.9845085
Medium Conversion:  FCC (1),1,Others,2050,2,MEDIUM,HEAVY,SOUR,135.5270839,256.4161056
Medium Conversion: GO-HC (2),2,ADU/VDU,2050,2,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,CNR,2050,2,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,FCC,2050,2,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Coker,2050,2,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Hydrotreater,2050,2,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Steam Boiler,2050,2,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,SMR,2050,2,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Others,2050,2,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: FCC & GO-HC (3),3,ADU/VDU,2050,2,MEDIUM,HEAVY,SOUR,53.69844747,286.8690788
Medium Conversion: FCC & GO-HC (3),3,CNR,2050,2,MEDIUM,HEAVY,SOUR,24.22888807,339.6000123
Medium Conversion: FCC & GO-HC (3),3,FCC,2050,2,MEDIUM,HEAVY,SOUR,42.05488248,224.1894355
Medium Conversion: FCC & GO-HC (3),3,Coker,2050,2,MEDIUM,HEAVY,SOUR,23.60763919,343.6718991
Medium Conversion: FCC & GO-HC (3),3,Hydrotreater,2050,2,MEDIUM,HEAVY,SOUR,61.1429307,281.695731
Medium Conversion: FCC & GO-HC (3),3,Steam Boiler,2050,2,MEDIUM,HEAVY,SOUR,4.807195523,606.0923541
Medium Conversion: FCC & GO-HC (3),3,SMR,2050,2,MEDIUM,HEAVY,SOUR,16.66313362,351.6163555
Medium Conversion: FCC & GO-HC (3),3,Others,2050,2,MEDIUM,HEAVY,SOUR,16.36026109,384.7112935
Deep Conversion: FCC (4),4,ADU/VDU,2050,2,MEDIUM,HEAVY,SOUR,1521.801579,198.1604169
