,EmissionsThreshold,OilPrices,Risk.Free.Interest.Rate,Carbon.Capture.Operating.Cost.Variation,Carbon.Price.Variation,Carbon.Capture.CapEx,Year,RO_Options,Count,Total_Count,Percentage
371,Carbon Tax,Ref,Ref,Low,Ref,Ref,2038,Deploy Carbon Capture,18494,20000,0.9247
372,Carbon Tax,Ref,Ref,Low,Ref,Ref,2039,Continue Operation,1134,21000,0.054
373,Carbon Tax,Ref,Ref,Low,Ref,Ref,2039,Deploy Carbon Capture,19848,21000,0.945142857
374,Carbon Tax,Ref,Ref,Low,Ref,Ref,2039,Shutdown Refinery,18,21000,0.000857143
375,Carbon Tax,Ref,Ref,Low,Ref,Ref,2040,Continue Operation,760,22000,0.034545455
376,Carbon Tax,Ref,Ref,Low,Ref,Ref,2040,Deploy Carbon Capture,21141,22000,0.960954545
377,Carbon Tax,Ref,Ref,Low,Ref,Ref,2040,Shutdown Refinery,99,22000,0.0045
378,Carbon Tax,Ref,Ref,Low,Ref,Ref,2041,Continue Operation,290,23000,0.012608696
379,Carbon Tax,Ref,Ref,Low,Ref,Ref,2041,Deploy Carbon Capture,22361,23000,0.972217391
380,Carbon Tax,Ref,Ref,Low,Ref,Ref,2041,Shutdown Refinery,349,23000,0.015173913
381,Carbon Tax,Ref,Ref,Low,Ref,Ref,2042,Continue Operation,164,24000,0.006833333
382,Carbon Tax,Ref,Ref,Low,Ref,Ref,2042,Deploy Carbon Capture,20132,24000,0.838833333
383,Carbon Tax,Ref,Ref,Low,Ref,Ref,2042,Shutdown Refinery,3704,24000,0.154333333
384,Carbon Tax,Ref,Ref,Low,Ref,Ref,2043,Continue Operation,60,25000,0.0024
385,Carbon Tax,Ref,Ref,Low,Ref,Ref,2043,Deploy Carbon Capture,18876,25000,0.75504
386,Carbon Tax,Ref,Ref,Low,Ref,Ref,2043,Shutdown Refinery,6064,25000,0.24256
387,Carbon Tax,Ref,Ref,Low,Ref,Ref,2044,Continue Operation,28,26000,0.001076923
388,Carbon Tax,Ref,Ref,Low,Ref,Ref,2044,Deploy Carbon Capture,14839,26000,0.570730769
389,Carbon Tax,Ref,Ref,Low,Ref,Ref,2044,Shutdown Refinery,11133,26000,0.428192308
390,Carbon Tax,Ref,Ref,Low,Ref,Ref,2045,Continue Operation,20,27000,0.000740741
391,Carbon Tax,Ref,Ref,Low,Ref,Ref,2045,Deploy Carbon Capture,13699,27000,0.50737037
392,Carbon Tax,Ref,Ref,Low,Ref,Ref,2045,Shutdown Refinery,13281,27000,0.491888889
393,Carbon Tax,Ref,Ref,Low,Ref,Ref,2046,Continue Operation,18,28000,0.000642857
394,Carbon Tax,Ref,Ref,Low,Ref,Ref,2046,Deploy Carbon Capture,13183,28000,0.470821429
395,Carbon Tax,Ref,Ref,Low,Ref,Ref,2046,Shutdown Refinery,14799,28000,0.528535714
396,Carbon Tax,Ref,Ref,Low,Ref,Ref,2047,Deploy Carbon Capture,12553,29000,0.432862069
397,Carbon Tax,Ref,Ref,Low,Ref,Ref,2047,Shutdown Refinery,16447,29000,0.567137931
398,Carbon Tax,Ref,Ref,Low,Ref,Ref,2048,Deploy Carbon Capture,11378,30000,0.379266667
399,Carbon Tax,Ref,Ref,Low,Ref,Ref,2048,Shutdown Refinery,18622,30000,0.620733333
400,Carbon Tax,Ref,Ref,Low,Ref,Ref,2049,Deploy Carbon Capture,6022,31000,0.194258065
401,Carbon Tax,Ref,Ref,Low,Ref,Ref,2049,Shutdown Refinery,24978,31000,0.805741935
402,Carbon Tax,Ref,Ref,Low,Ref,Ref,2050,Shutdown Refinery,32000,32000,1
403,Carbon Tax,Ref,Ref,Ref,High,Ref,2019,Continue Operation,1000,1000,1
404,Carbon Tax,Ref,Ref,Ref,High,Ref,2020,Continue Operation,2000,2000,1
405,Carbon Tax,Ref,Ref,Ref,High,Ref,2021,Continue Operation,2000,3000,0.666666667
406,Carbon Tax,Ref,Ref,Ref,High,Ref,2021,Deploy Carbon Capture,1000,3000,0.333333333
407,Carbon Tax,Ref,Ref,Ref,High,Ref,2022,Continue Operation,2000,4000,0.5
408,Carbon Tax,Ref,Ref,Ref,High,Ref,2022,Deploy Carbon Capture,2000,4000,0.5
409,Carbon Tax,Ref,Ref,Ref,High,Ref,2023,Continue Operation,2000,5000,0.4
410,Carbon Tax,Ref,Ref,Ref,High,Ref,2023,Deploy Carbon Capture,3000,5000,0.6
411,Carbon Tax,Ref,Ref,Ref,High,Ref,2024,Continue Operation,2000,6000,0.333333333
412,Carbon Tax,Ref,Ref,Ref,High,Ref,2024,Deploy Carbon Capture,4000,6000,0.666666667
413,Carbon Tax,Ref,Ref,Ref,High,Ref,2025,Continue Operation,2000,7000,0.285714286
414,Carbon Tax,Ref,Ref,Ref,High,Ref,2025,Deploy Carbon Capture,5000,7000,0.714285714
415,Carbon Tax,Ref,Ref,Ref,High,Ref,2026,Continue Operation,2000,8000,0.25
416,Carbon Tax,Ref,Ref,Ref,High,Ref,2026,Deploy Carbon Capture,6000,8000,0.75
417,Carbon Tax,Ref,Ref,Ref,High,Ref,2027,Continue Operation,2000,9000,0.222222222
418,Carbon Tax,Ref,Ref,Ref,High,Ref,2027,Deploy Carbon Capture,7000,9000,0.777777778
419,Carbon Tax,Ref,Ref,Ref,High,Ref,2028,Continue Operation,1998,10000,0.1998
420,Carbon Tax,Ref,Ref,Ref,High,Ref,2028,Deploy Carbon Capture,8002,10000,0.8002
421,Carbon Tax,Ref,Ref,Ref,High,Ref,2029,Continue Operation,1997,11000,0.181545455
422,Carbon Tax,Ref,Ref,Ref,High,Ref,2029,Deploy Carbon Capture,9003,11000,0.818454545
423,Carbon Tax,Ref,Ref,Ref,High,Ref,2030,Continue Operation,1973,12000,0.164416667
424,Carbon Tax,Ref,Ref,Ref,High,Ref,2030,Deploy Carbon Capture,10027,12000,0.835583333
425,Carbon Tax,Ref,Ref,Ref,High,Ref,2031,Continue Operation,1880,13000,0.144615385
426,Carbon Tax,Ref,Ref,Ref,High,Ref,2031,Deploy Carbon Capture,11120,13000,0.855384615
427,Carbon Tax,Ref,Ref,Ref,High,Ref,2032,Continue Operation,1477,14000,0.1055
428,Carbon Tax,Ref,Ref,Ref,High,Ref,2032,Deploy Carbon Capture,12523,14000,0.8945
429,Carbon Tax,Ref,Ref,Ref,High,Ref,2033,Continue Operation,1402,15000,0.093466667
430,Carbon Tax,Ref,Ref,Ref,High,Ref,2033,Deploy Carbon Capture,13598,15000,0.906533333
431,Carbon Tax,Ref,Ref,Ref,High,Ref,2034,Continue Operation,1064,16000,0.0665
432,Carbon Tax,Ref,Ref,Ref,High,Ref,2034,Deploy Carbon Capture,14936,16000,0.9335
433,Carbon Tax,Ref,Ref,Ref,High,Ref,2035,Continue Operation,500,17000,0.029411765
434,Carbon Tax,Ref,Ref,Ref,High,Ref,2035,Deploy Carbon Capture,16500,17000,0.970588235
435,Carbon Tax,Ref,Ref,Ref,High,Ref,2036,Continue Operation,476,18000,0.026444444
436,Carbon Tax,Ref,Ref,Ref,High,Ref,2036,Deploy Carbon Capture,17426,18000,0.968111111
437,Carbon Tax,Ref,Ref,Ref,High,Ref,2036,Shutdown Refinery,98,18000,0.005444444
438,Carbon Tax,Ref,Ref,Ref,High,Ref,2037,Continue Operation,238,19000,0.012526316
439,Carbon Tax,Ref,Ref,Ref,High,Ref,2037,Deploy Carbon Capture,18634,19000,0.980736842
440,Carbon Tax,Ref,Ref,Ref,High,Ref,2037,Shutdown Refinery,128,19000,0.006736842
441,Carbon Tax,Ref,Ref,Ref,High,Ref,2038,Continue Operation,115,20000,0.00575
442,Carbon Tax,Ref,Ref,Ref,High,Ref,2038,Deploy Carbon Capture,19354,20000,0.9677
443,Carbon Tax,Ref,Ref,Ref,High,Ref,2038,Shutdown Refinery,531,20000,0.02655
444,Carbon Tax,Ref,Ref,Ref,High,Ref,2039,Continue Operation,42,21000,0.002
445,Carbon Tax,Ref,Ref,Ref,High,Ref,2039,Deploy Carbon Capture,19221,21000,0.915285714
446,Carbon Tax,Ref,Ref,Ref,High,Ref,2039,Shutdown Refinery,1737,21000,0.082714286
447,Carbon Tax,Ref,Ref,Ref,High,Ref,2040,Continue Operation,12,22000,0.000545455
448,Carbon Tax,Ref,Ref,Ref,High,Ref,2040,Deploy Carbon Capture,17370,22000,0.789545455
449,Carbon Tax,Ref,Ref,Ref,High,Ref,2040,Shutdown Refinery,4618,22000,0.209909091
450,Carbon Tax,Ref,Ref,Ref,High,Ref,2041,Continue Operation,2,23000,8.70E-05
451,Carbon Tax,Ref,Ref,Ref,High,Ref,2041,Deploy Carbon Capture,15238,23000,0.662521739
452,Carbon Tax,Ref,Ref,Ref,High,Ref,2041,Shutdown Refinery,7760,23000,0.337391304
453,Carbon Tax,Ref,Ref,Ref,High,Ref,2042,Deploy Carbon Capture,12740,24000,0.530833333
454,Carbon Tax,Ref,Ref,Ref,High,Ref,2042,Shutdown Refinery,11260,24000,0.469166667
455,Carbon Tax,Ref,Ref,Ref,High,Ref,2043,Deploy Carbon Capture,12542,25000,0.50168
456,Carbon Tax,Ref,Ref,Ref,High,Ref,2043,Shutdown Refinery,12458,25000,0.49832
457,Carbon Tax,Ref,Ref,Ref,High,Ref,2044,Deploy Carbon Capture,12410,26000,0.477307692
458,Carbon Tax,Ref,Ref,Ref,High,Ref,2044,Shutdown Refinery,13590,26000,0.522692308
459,Carbon Tax,Ref,Ref,Ref,High,Ref,2045,Deploy Carbon Capture,12410,27000,0.45962963
460,Carbon Tax,Ref,Ref,Ref,High,Ref,2045,Shutdown Refinery,14590,27000,0.54037037
461,Carbon Tax,Ref,Ref,Ref,High,Ref,2046,Deploy Carbon Capture,12410,28000,0.443214286
462,Carbon Tax,Ref,Ref,Ref,High,Ref,2046,Shutdown Refinery,15590,28000,0.556785714
463,Carbon Tax,Ref,Ref,Ref,High,Ref,2047,Deploy Carbon Capture,12410,29000,0.427931034
464,Carbon Tax,Ref,Ref,Ref,High,Ref,2047,Shutdown Refinery,16590,29000,0.572068966
465,Carbon Tax,Ref,Ref,Ref,High,Ref,2048,Deploy Carbon Capture,12366,30000,0.4122
466,Carbon Tax,Ref,Ref,Ref,High,Ref,2048,Shutdown Refinery,17634,30000,0.5878
467,Carbon Tax,Ref,Ref,Ref,High,Ref,2049,Deploy Carbon Capture,11665,31000,0.376290323
468,Carbon Tax,Ref,Ref,Ref,High,Ref,2049,Shutdown Refinery,19335,31000,0.623709677
469,Carbon Tax,Ref,Ref,Ref,High,Ref,2050,Shutdown Refinery,32000,32000,1
470,Carbon Tax,Ref,Ref,Ref,Low,Ref,2019,Continue Operation,1000,1000,1
471,Carbon Tax,Ref,Ref,Ref,Low,Ref,2020,Continue Operation,2000,2000,1
472,Carbon Tax,Ref,Ref,Ref,Low,Ref,2021,Continue Operation,3000,3000,1
473,Carbon Tax,Ref,Ref,Ref,Low,Ref,2022,Continue Operation,4000,4000,1
474,Carbon Tax,Ref,Ref,Ref,Low,Ref,2023,Continue Operation,5000,5000,1
475,Carbon Tax,Ref,Ref,Ref,Low,Ref,2024,Continue Operation,6000,6000,1
476,Carbon Tax,Ref,Ref,Ref,Low,Ref,2025,Continue Operation,7000,7000,1
477,Carbon Tax,Ref,Ref,Ref,Low,Ref,2026,Continue Operation,8000,8000,1
478,Carbon Tax,Ref,Ref,Ref,Low,Ref,2027,Continue Operation,9000,9000,1
479,Carbon Tax,Ref,Ref,Ref,Low,Ref,2028,Continue Operation,10000,10000,1
480,Carbon Tax,Ref,Ref,Ref,Low,Ref,2029,Continue Operation,10995,11000,0.999545455
481,Carbon Tax,Ref,Ref,Ref,Low,Ref,2029,Deploy Carbon Capture,5,11000,0.000454545
482,Carbon Tax,Ref,Ref,Ref,Low,Ref,2030,Continue Operation,11940,12000,0.995
483,Carbon Tax,Ref,Ref,Ref,Low,Ref,2030,Deploy Carbon Capture,60,12000,0.005
484,Carbon Tax,Ref,Ref,Ref,Low,Ref,2031,Continue Operation,12774,13000,0.982615385
485,Carbon Tax,Ref,Ref,Ref,Low,Ref,2031,Deploy Carbon Capture,226,13000,0.017384615
486,Carbon Tax,Ref,Ref,Ref,Low,Ref,2032,Continue Operation,13444,14000,0.960285714
487,Carbon Tax,Ref,Ref,Ref,Low,Ref,2032,Deploy Carbon Capture,556,14000,0.039714286
488,Carbon Tax,Ref,Ref,Ref,Low,Ref,2033,Continue Operation,13819,15000,0.921266667
489,Carbon Tax,Ref,Ref,Ref,Low,Ref,2033,Deploy Carbon Capture,1181,15000,0.078733333
490,Carbon Tax,Ref,Ref,Ref,Low,Ref,2034,Continue Operation,13967,16000,0.8729375
491,Carbon Tax,Ref,Ref,Ref,Low,Ref,2034,Deploy Carbon Capture,2033,16000,0.1270625
492,Carbon Tax,Ref,Ref,Ref,Low,Ref,2035,Continue Operation,13691,17000,0.805352941
493,Carbon Tax,Ref,Ref,Ref,Low,Ref,2035,Deploy Carbon Capture,3309,17000,0.194647059
494,Carbon Tax,Ref,Ref,Ref,Low,Ref,2036,Continue Operation,13311,18000,0.7395
495,Carbon Tax,Ref,Ref,Ref,Low,Ref,2036,Deploy Carbon Capture,4689,18000,0.2605
496,Carbon Tax,Ref,Ref,Ref,Low,Ref,2037,Continue Operation,12828,19000,0.675157895
497,Carbon Tax,Ref,Ref,Ref,Low,Ref,2037,Deploy Carbon Capture,6172,19000,0.324842105
498,Carbon Tax,Ref,Ref,Ref,Low,Ref,2038,Continue Operation,12233,20000,0.61165
499,Carbon Tax,Ref,Ref,Ref,Low,Ref,2038,Deploy Carbon Capture,7767,20000,0.38835
500,Carbon Tax,Ref,Ref,Ref,Low,Ref,2039,Continue Operation,11878,21000,0.565619048
501,Carbon Tax,Ref,Ref,Ref,Low,Ref,2039,Deploy Carbon Capture,9122,21000,0.434380952
502,Carbon Tax,Ref,Ref,Ref,Low,Ref,2040,Continue Operation,11424,22000,0.519272727
503,Carbon Tax,Ref,Ref,Ref,Low,Ref,2040,Deploy Carbon Capture,10576,22000,0.480727273
504,Carbon Tax,Ref,Ref,Ref,Low,Ref,2041,Continue Operation,10978,23000,0.477304348
505,Carbon Tax,Ref,Ref,Ref,Low,Ref,2041,Deploy Carbon Capture,12022,23000,0.522695652
506,Carbon Tax,Ref,Ref,Ref,Low,Ref,2042,Continue Operation,10536,24000,0.439
507,Carbon Tax,Ref,Ref,Ref,Low,Ref,2042,Deploy Carbon Capture,13464,24000,0.561
508,Carbon Tax,Ref,Ref,Ref,Low,Ref,2043,Continue Operation,10212,25000,0.40848
509,Carbon Tax,Ref,Ref,Ref,Low,Ref,2043,Deploy Carbon Capture,14788,25000,0.59152
510,Carbon Tax,Ref,Ref,Ref,Low,Ref,2044,Continue Operation,9984,26000,0.384
511,Carbon Tax,Ref,Ref,Ref,Low,Ref,2044,Deploy Carbon Capture,15938,26000,0.613
512,Carbon Tax,Ref,Ref,Ref,Low,Ref,2044,Shutdown Refinery,78,26000,0.003
513,Carbon Tax,Ref,Ref,Ref,Low,Ref,2045,Continue Operation,9739,27000,0.360703704
514,Carbon Tax,Ref,Ref,Ref,Low,Ref,2045,Deploy Carbon Capture,16927,27000,0.626925926
515,Carbon Tax,Ref,Ref,Ref,Low,Ref,2045,Shutdown Refinery,334,27000,0.01237037
516,Carbon Tax,Ref,Ref,Ref,Low,Ref,2046,Continue Operation,9418,28000,0.336357143
517,Carbon Tax,Ref,Ref,Ref,Low,Ref,2046,Deploy Carbon Capture,16861,28000,0.602178571
518,Carbon Tax,Ref,Ref,Ref,Low,Ref,2046,Shutdown Refinery,1721,28000,0.061464286
519,Carbon Tax,Ref,Ref,Ref,Low,Ref,2047,Continue Operation,7578,29000,0.261310345
520,Carbon Tax,Ref,Ref,Ref,Low,Ref,2047,Deploy Carbon Capture,13220,29000,0.455862069
521,Carbon Tax,Ref,Ref,Ref,Low,Ref,2047,Shutdown Refinery,8202,29000,0.282827586
522,Carbon Tax,Ref,Ref,Ref,Low,Ref,2048,Continue Operation,3195,30000,0.1065
523,Carbon Tax,Ref,Ref,Ref,Low,Ref,2048,Deploy Carbon Capture,4600,30000,0.153333333
524,Carbon Tax,Ref,Ref,Ref,Low,Ref,2048,Shutdown Refinery,22205,30000,0.740166667
525,Carbon Tax,Ref,Ref,Ref,Low,Ref,2049,Continue Operation,695,31000,0.022419355
526,Carbon Tax,Ref,Ref,Ref,Low,Ref,2049,Deploy Carbon Capture,421,31000,0.013580645
527,Carbon Tax,Ref,Ref,Ref,Low,Ref,2049,Shutdown Refinery,29884,31000,0.964
528,Carbon Tax,Ref,Ref,Ref,Low,Ref,2050,Shutdown Refinery,32000,32000,1
529,Carbon Tax,Ref,Ref,Ref,Ref,High,2019,Continue Operation,1000,1000,1
530,Carbon Tax,Ref,Ref,Ref,Ref,High,2020,Continue Operation,2000,2000,1
531,Carbon Tax,Ref,Ref,Ref,Ref,High,2021,Continue Operation,3000,3000,1
532,Carbon Tax,Ref,Ref,Ref,Ref,High,2022,Continue Operation,2000,4000,0.5
533,Carbon Tax,Ref,Ref,Ref,Ref,High,2022,Deploy Carbon Capture,2000,4000,0.5
534,Carbon Tax,Ref,Ref,Ref,Ref,High,2023,Continue Operation,2000,5000,0.4
535,Carbon Tax,Ref,Ref,Ref,Ref,High,2023,Deploy Carbon Capture,3000,5000,0.6
536,Carbon Tax,Ref,Ref,Ref,Ref,High,2024,Continue Operation,2000,6000,0.333333333
537,Carbon Tax,Ref,Ref,Ref,Ref,High,2024,Deploy Carbon Capture,4000,6000,0.666666667
538,Carbon Tax,Ref,Ref,Ref,Ref,High,2025,Continue Operation,2000,7000,0.285714286
539,Carbon Tax,Ref,Ref,Ref,Ref,High,2025,Deploy Carbon Capture,5000,7000,0.714285714
540,Carbon Tax,Ref,Ref,Ref,Ref,High,2026,Continue Operation,2000,8000,0.25
541,Carbon Tax,Ref,Ref,Ref,Ref,High,2026,Deploy Carbon Capture,6000,8000,0.75
542,Carbon Tax,Ref,Ref,Ref,Ref,High,2027,Continue Operation,2000,9000,0.222222222
543,Carbon Tax,Ref,Ref,Ref,Ref,High,2027,Deploy Carbon Capture,7000,9000,0.777777778
544,Carbon Tax,Ref,Ref,Ref,Ref,High,2028,Continue Operation,1998,10000,0.1998
545,Carbon Tax,Ref,Ref,Ref,Ref,High,2028,Deploy Carbon Capture,8002,10000,0.8002
546,Carbon Tax,Ref,Ref,Ref,Ref,High,2029,Continue Operation,1998,11000,0.181636364
547,Carbon Tax,Ref,Ref,Ref,Ref,High,2029,Deploy Carbon Capture,9002,11000,0.818363636
548,Carbon Tax,Ref,Ref,Ref,Ref,High,2030,Continue Operation,1998,12000,0.1665
549,Carbon Tax,Ref,Ref,Ref,Ref,High,2030,Deploy Carbon Capture,10002,12000,0.8335
550,Carbon Tax,Ref,Ref,Ref,Ref,High,2031,Continue Operation,1998,13000,0.153692308
551,Carbon Tax,Ref,Ref,Ref,Ref,High,2031,Deploy Carbon Capture,11002,13000,0.846307692
552,Carbon Tax,Ref,Ref,Ref,Ref,High,2032,Continue Operation,1998,14000,0.142714286
553,Carbon Tax,Ref,Ref,Ref,Ref,High,2032,Deploy Carbon Capture,12002,14000,0.857285714
554,Carbon Tax,Ref,Ref,Ref,Ref,High,2033,Continue Operation,1996,15000,0.133066667
555,Carbon Tax,Ref,Ref,Ref,Ref,High,2033,Deploy Carbon Capture,13004,15000,0.866933333
556,Carbon Tax,Ref,Ref,Ref,Ref,High,2034,Continue Operation,1994,16000,0.124625
557,Carbon Tax,Ref,Ref,Ref,Ref,High,2034,Deploy Carbon Capture,14006,16000,0.875375
558,Carbon Tax,Ref,Ref,Ref,Ref,High,2035,Continue Operation,1974,17000,0.116117647
559,Carbon Tax,Ref,Ref,Ref,Ref,High,2035,Deploy Carbon Capture,15026,17000,0.883882353
560,Carbon Tax,Ref,Ref,Ref,Ref,High,2036,Continue Operation,1964,18000,0.109111111
561,Carbon Tax,Ref,Ref,Ref,Ref,High,2036,Deploy Carbon Capture,16036,18000,0.890888889
562,Carbon Tax,Ref,Ref,Ref,Ref,High,2037,Continue Operation,1906,19000,0.100315789
563,Carbon Tax,Ref,Ref,Ref,Ref,High,2037,Deploy Carbon Capture,17094,19000,0.899684211
564,Carbon Tax,Ref,Ref,Ref,Ref,High,2038,Continue Operation,1778,20000,0.0889
565,Carbon Tax,Ref,Ref,Ref,Ref,High,2038,Deploy Carbon Capture,18222,20000,0.9111
566,Carbon Tax,Ref,Ref,Ref,Ref,High,2039,Continue Operation,1498,21000,0.071333333
567,Carbon Tax,Ref,Ref,Ref,Ref,High,2039,Deploy Carbon Capture,19484,21000,0.927809524
568,Carbon Tax,Ref,Ref,Ref,Ref,High,2039,Shutdown Refinery,18,21000,0.000857143
569,Carbon Tax,Ref,Ref,Ref,Ref,High,2040,Continue Operation,1162,22000,0.052818182
570,Carbon Tax,Ref,Ref,Ref,Ref,High,2040,Deploy Carbon Capture,20738,22000,0.942636364
571,Carbon Tax,Ref,Ref,Ref,Ref,High,2040,Shutdown Refinery,100,22000,0.004545455
572,Carbon Tax,Ref,Ref,Ref,Ref,High,2041,Continue Operation,622,23000,0.027043478
573,Carbon Tax,Ref,Ref,Ref,Ref,High,2041,Deploy Carbon Capture,22004,23000,0.956695652
574,Carbon Tax,Ref,Ref,Ref,Ref,High,2041,Shutdown Refinery,374,23000,0.01626087
575,Carbon Tax,Ref,Ref,Ref,Ref,High,2042,Continue Operation,412,24000,0.017166667
576,Carbon Tax,Ref,Ref,Ref,Ref,High,2042,Deploy Carbon Capture,19676,24000,0.819833333
577,Carbon Tax,Ref,Ref,Ref,Ref,High,2042,Shutdown Refinery,3912,24000,0.163
578,Carbon Tax,Ref,Ref,Ref,Ref,High,2043,Continue Operation,192,25000,0.00768
579,Carbon Tax,Ref,Ref,Ref,Ref,High,2043,Deploy Carbon Capture,18490,25000,0.7396
580,Carbon Tax,Ref,Ref,Ref,Ref,High,2043,Shutdown Refinery,6318,25000,0.25272
581,Carbon Tax,Ref,Ref,Ref,Ref,High,2044,Continue Operation,150,26000,0.005769231
582,Carbon Tax,Ref,Ref,Ref,Ref,High,2044,Deploy Carbon Capture,14117,26000,0.542961538
583,Carbon Tax,Ref,Ref,Ref,Ref,High,2044,Shutdown Refinery,11733,26000,0.451269231
584,Carbon Tax,Ref,Ref,Ref,Ref,High,2045,Continue Operation,98,27000,0.00362963
585,Carbon Tax,Ref,Ref,Ref,Ref,High,2045,Deploy Carbon Capture,12101,27000,0.448185185
586,Carbon Tax,Ref,Ref,Ref,Ref,High,2045,Shutdown Refinery,14801,27000,0.548185185
587,Carbon Tax,Ref,Ref,Ref,Ref,High,2046,Continue Operation,28,28000,0.001
588,Carbon Tax,Ref,Ref,Ref,Ref,High,2046,Deploy Carbon Capture,10229,28000,0.365321429
589,Carbon Tax,Ref,Ref,Ref,Ref,High,2046,Shutdown Refinery,17743,28000,0.633678571
590,Carbon Tax,Ref,Ref,Ref,Ref,High,2047,Deploy Carbon Capture,8028,29000,0.276827586
591,Carbon Tax,Ref,Ref,Ref,Ref,High,2047,Shutdown Refinery,20972,29000,0.723172414
592,Carbon Tax,Ref,Ref,Ref,Ref,High,2048,Deploy Carbon Capture,4558,30000,0.151933333
593,Carbon Tax,Ref,Ref,Ref,Ref,High,2048,Shutdown Refinery,25442,30000,0.848066667
594,Carbon Tax,Ref,Ref,Ref,Ref,High,2049,Deploy Carbon Capture,676,31000,0.021806452
595,Carbon Tax,Ref,Ref,Ref,Ref,High,2049,Shutdown Refinery,30324,31000,0.978193548
596,Carbon Tax,Ref,Ref,Ref,Ref,High,2050,Shutdown Refinery,32000,32000,1
597,Carbon Tax,Ref,Ref,Ref,Ref,Low,2019,Continue Operation,1000,1000,1
598,Carbon Tax,Ref,Ref,Ref,Ref,Low,2020,Continue Operation,2000,2000,1
599,Carbon Tax,Ref,Ref,Ref,Ref,Low,2021,Continue Operation,3000,3000,1
600,Carbon Tax,Ref,Ref,Ref,Ref,Low,2022,Continue Operation,2000,4000,0.5
601,Carbon Tax,Ref,Ref,Ref,Ref,Low,2022,Deploy Carbon Capture,2000,4000,0.5
602,Carbon Tax,Ref,Ref,Ref,Ref,Low,2023,Continue Operation,2000,5000,0.4
603,Carbon Tax,Ref,Ref,Ref,Ref,Low,2023,Deploy Carbon Capture,3000,5000,0.6
604,Carbon Tax,Ref,Ref,Ref,Ref,Low,2024,Continue Operation,2000,6000,0.333333333
605,Carbon Tax,Ref,Ref,Ref,Ref,Low,2024,Deploy Carbon Capture,4000,6000,0.666666667
606,Carbon Tax,Ref,Ref,Ref,Ref,Low,2025,Continue Operation,2000,7000,0.285714286
607,Carbon Tax,Ref,Ref,Ref,Ref,Low,2025,Deploy Carbon Capture,5000,7000,0.714285714
608,Carbon Tax,Ref,Ref,Ref,Ref,Low,2026,Continue Operation,2000,8000,0.25
609,Carbon Tax,Ref,Ref,Ref,Ref,Low,2026,Deploy Carbon Capture,6000,8000,0.75
610,Carbon Tax,Ref,Ref,Ref,Ref,Low,2027,Continue Operation,2000,9000,0.222222222
611,Carbon Tax,Ref,Ref,Ref,Ref,Low,2027,Deploy Carbon Capture,7000,9000,0.777777778
612,Carbon Tax,Ref,Ref,Ref,Ref,Low,2028,Continue Operation,1998,10000,0.1998
613,Carbon Tax,Ref,Ref,Ref,Ref,Low,2028,Deploy Carbon Capture,8002,10000,0.8002
614,Carbon Tax,Ref,Ref,Ref,Ref,Low,2029,Continue Operation,1998,11000,0.181636364
615,Carbon Tax,Ref,Ref,Ref,Ref,Low,2029,Deploy Carbon Capture,9002,11000,0.818363636
616,Carbon Tax,Ref,Ref,Ref,Ref,Low,2030,Continue Operation,1996,12000,0.166333333
617,Carbon Tax,Ref,Ref,Ref,Ref,Low,2030,Deploy Carbon Capture,10004,12000,0.833666667
618,Carbon Tax,Ref,Ref,Ref,Ref,Low,2031,Continue Operation,1990,13000,0.153076923
619,Carbon Tax,Ref,Ref,Ref,Ref,Low,2031,Deploy Carbon Capture,11010,13000,0.846923077
620,Carbon Tax,Ref,Ref,Ref,Ref,Low,2032,Continue Operation,1990,14000,0.142142857
621,Carbon Tax,Ref,Ref,Ref,Ref,Low,2032,Deploy Carbon Capture,12010,14000,0.857857143
622,Carbon Tax,Ref,Ref,Ref,Ref,Low,2033,Continue Operation,1986,15000,0.1324
623,Carbon Tax,Ref,Ref,Ref,Ref,Low,2033,Deploy Carbon Capture,13014,15000,0.8676
624,Carbon Tax,Ref,Ref,Ref,Ref,Low,2034,Continue Operation,1980,16000,0.12375
625,Carbon Tax,Ref,Ref,Ref,Ref,Low,2034,Deploy Carbon Capture,14020,16000,0.87625
626,Carbon Tax,Ref,Ref,Ref,Ref,Low,2035,Continue Operation,1924,17000,0.113176471
627,Carbon Tax,Ref,Ref,Ref,Ref,Low,2035,Deploy Carbon Capture,15076,17000,0.886823529
628,Carbon Tax,Ref,Ref,Ref,Ref,Low,2036,Continue Operation,1910,18000,0.106111111
629,Carbon Tax,Ref,Ref,Ref,Ref,Low,2036,Deploy Carbon Capture,16090,18000,0.893888889
630,Carbon Tax,Ref,Ref,Ref,Ref,Low,2037,Continue Operation,1772,19000,0.093263158
631,Carbon Tax,Ref,Ref,Ref,Ref,Low,2037,Deploy Carbon Capture,17228,19000,0.906736842
632,Carbon Tax,Ref,Ref,Ref,Ref,Low,2038,Continue Operation,1530,20000,0.0765
633,Carbon Tax,Ref,Ref,Ref,Ref,Low,2038,Deploy Carbon Capture,18470,20000,0.9235
634,Carbon Tax,Ref,Ref,Ref,Ref,Low,2039,Continue Operation,1170,21000,0.055714286
635,Carbon Tax,Ref,Ref,Ref,Ref,Low,2039,Deploy Carbon Capture,19812,21000,0.943428571
636,Carbon Tax,Ref,Ref,Ref,Ref,Low,2039,Shutdown Refinery,18,21000,0.000857143
