Refinery configuration,Config,Capture Scenario,SMR Capture Locations,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd",Normalized Avoidance cost,Normalized Avoided CO2
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD1,LOW,HEAVY,SOUR,353683.2864,369.1836156,39.17342489
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD1,LOW,HEAVY,SOUR,89115.14903,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD1,LOW,HEAVY,SOUR,89115.14903,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2050,PADD1,LOW,HEAVY,SOUR,89115.14903,0,0
Deep Conversion: FCC (4),4,SMR,PSA inlet,2050,PADD1,LOW,HEAVY,SOUR,84221.75049,337.023168,35.92510766
Deep Conversion: FCC (4),4,SMR,PSA outlet,2050,PADD1,LOW,HEAVY,SOUR,84221.75049,300.5275662,37.15537141
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2050,PADD1,LOW,HEAVY,SOUR,84221.75049,328.2147104,43.65390578
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2050,PADD1,LOW,HEAVY,SOUR,115644.1412,257.2269963,115.9543987
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2050,PADD1,LOW,HEAVY,SOUR,115644.1412,228.1188548,119.8988274
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2050,PADD1,LOW,HEAVY,SOUR,115644.1412,253.5872578,140.4935246
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD1,LOW,LIGHT,SWEET,14927.56494,1180.111078,2.323377057
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD1,LOW,LIGHT,SWEET,14927.56494,1080.613684,2.403420307
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD1,LOW,LIGHT,SWEET,14927.56494,1132.395532,2.779620543
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD1,LOW,LIGHT,SWEET,353683.2864,297.7558319,73.212139
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD1,LOW,LIGHT,SWEET,353683.2864,259.2348382,75.73184803
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD1,LOW,LIGHT,SWEET,353683.2864,300.6238615,88.89874361
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD1,LOW,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD1,LOW,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD1,LOW,LIGHT,SWEET,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD1,LOW,LIGHT,SWEET,89115.14903,332.5510299,38.05168615
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD1,LOW,LIGHT,SWEET,89115.14903,296.2511198,39.35780041
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2050,PADD1,LOW,LIGHT,SWEET,89115.14903,324.71155,46.16285042
Deep Conversion: FCC (4),4,SMR,PSA inlet,2050,PADD1,LOW,LIGHT,SWEET,84221.75049,315.0937508,45.59300942
Deep Conversion: FCC (4),4,SMR,PSA outlet,2050,PADD1,LOW,LIGHT,SWEET,84221.75049,280.4039052,47.15177271
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2050,PADD1,LOW,LIGHT,SWEET,84221.75049,308.3993982,55.26028521
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2050,PADD1,LOW,LIGHT,SWEET,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2050,PADD1,LOW,LIGHT,SWEET,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2050,PADD1,LOW,LIGHT,SWEET,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2050,PADD1,LOW,LIGHT,SWEET,115644.1412,283.4773205,71.34367274
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2050,PADD1,LOW,LIGHT,SWEET,115644.1412,250.923016,73.22296638
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2050,PADD1,LOW,LIGHT,SWEET,115644.1412,281.3335821,87.31329407
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD1,MEDIUM,HEAVY,SOUR,12968.98839,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,12968.98839,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,12968.98839,0,0
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD1,MEDIUM,HEAVY,SOUR,281546.645,0,0
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,281546.645,0,0
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,281546.645,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD1,MEDIUM,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD1,MEDIUM,HEAVY,SOUR,77473.17331,300.8290472,57.35534463
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,77473.17331,269.0263848,59.31562809
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,77473.17331,292.6915495,69.52057406
Deep Conversion: FCC (4),4,SMR,PSA inlet,2035,PADD1,MEDIUM,HEAVY,SOUR,67044.02554,355.942276,29.88189974
Deep Conversion: FCC (4),4,SMR,PSA outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,67044.02554,318.2348105,30.90291717
