Refinery configuration,Config,Capture Scenario,SMR Capture Locations,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd",Normalized Avoidance cost,Normalized Avoided CO2
Deep Conversion: FCC (4),4,SMR,PSA inlet,2035,PADD1,HIGH,LIGHT,SWEET,62123.96166,354.3620244,29.96214403
Deep Conversion: FCC (4),4,SMR,PSA outlet,2035,PADD1,HIGH,LIGHT,SWEET,62123.96166,316.2825462,30.88203847
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2035,PADD1,HIGH,LIGHT,SWEET,62123.96166,345.3881945,36.74119665
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2035,PADD1,HIGH,LIGHT,SWEET,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2035,PADD1,HIGH,LIGHT,SWEET,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2035,PADD1,HIGH,LIGHT,SWEET,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2035,PADD1,HIGH,LIGHT,SWEET,78241.22504,458.5928925,15.76027803
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD1,HIGH,LIGHT,SWEET,78241.22504,407.6073763,16.18706828
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD1,HIGH,LIGHT,SWEET,78241.22504,450.0596591,19.31029004
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD1,HIGH,HEAVY,SOUR,7051.942495,1965.560284,1.137013741
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD1,HIGH,HEAVY,SOUR,7051.942495,1807.226726,1.176046926
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD1,HIGH,HEAVY,SOUR,7051.942495,1892.23007,1.359501412
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD1,HIGH,HEAVY,SOUR,167083.7947,306.1781664,53.68591077
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD1,HIGH,HEAVY,SOUR,167083.7947,271.4913253,55.53969258
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD1,HIGH,HEAVY,SOUR,167083.7947,300.0743694,65.33674182
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD1,HIGH,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD1,HIGH,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD1,HIGH,HEAVY,SOUR,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD1,HIGH,HEAVY,SOUR,42098.95645,364.0992823,27.00226559
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD1,HIGH,HEAVY,SOUR,42098.95645,328.4307958,27.92690257
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2050,PADD1,HIGH,HEAVY,SOUR,42098.95645,349.8610746,32.74177509
Deep Conversion: FCC (4),4,SMR,PSA inlet,2050,PADD1,HIGH,HEAVY,SOUR,39787.26226,445.9609264,15.19882632
Deep Conversion: FCC (4),4,SMR,PSA outlet,2050,PADD1,HIGH,HEAVY,SOUR,39787.26226,402.6450489,15.71967947
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2050,PADD1,HIGH,HEAVY,SOUR,39787.26226,427.4813383,18.43803511
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2050,PADD1,HIGH,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2050,PADD1,HIGH,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2050,PADD1,HIGH,HEAVY,SOUR,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2050,PADD1,HIGH,HEAVY,SOUR,54631.53816,380.5108263,23.77370001
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2050,PADD1,HIGH,HEAVY,SOUR,54631.53816,341.0313304,24.58675881
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2050,PADD1,HIGH,HEAVY,SOUR,54631.53816,368.5271451,28.82397162
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD1,HIGH,LIGHT,SWEET,10587.28287,2363.911495,0.931986492
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD1,HIGH,LIGHT,SWEET,10587.28287,2166.266231,0.964198039
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD1,HIGH,LIGHT,SWEET,10587.28287,2267.249049,1.115591086
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD1,HIGH,LIGHT,SWEET,176311.2562,351.1373598,34.84250289
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD1,HIGH,LIGHT,SWEET,176311.2562,310.4229648,35.81099257
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD1,HIGH,LIGHT,SWEET,176311.2562,346.5046211,42.81777017
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD1,HIGH,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD1,HIGH,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD1,HIGH,LIGHT,SWEET,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD1,HIGH,LIGHT,SWEET,83967.6927,345.1854631,33.87074154
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD1,HIGH,LIGHT,SWEET,83967.6927,307.2939672,35.03432911
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2050,PADD1,HIGH,LIGHT,SWEET,83967.6927,337.2421016,41.06953123
Deep Conversion: FCC (4),4,SMR,PSA inlet,2050,PADD1,HIGH,LIGHT,SWEET,39787.26226,626.4613166,7.445060056
Deep Conversion: FCC (4),4,SMR,PSA outlet,2050,PADD1,HIGH,LIGHT,SWEET,39787.26226,561.9643921,7.700388656
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2050,PADD1,HIGH,LIGHT,SWEET,39787.26226,604.7345411,9.026111629
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2050,PADD1,HIGH,LIGHT,SWEET,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2050,PADD1,HIGH,LIGHT,SWEET,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2050,PADD1,HIGH,LIGHT,SWEET,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2050,PADD1,HIGH,LIGHT,SWEET,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2050,PADD1,HIGH,LIGHT,SWEET,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2050,PADD1,HIGH,LIGHT,SWEET,1000,0,0
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,16530,2382.692138,0.922412183
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,16530,2180.176897,0.954315545
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,16530,2284.421446,1.104260138
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,331125,265.183774,107.8487701
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,331125,233.3971631,111.6230353
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,331125,262.494568,131.4323171
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,98800,456.6203069,15.12284269
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,98800,407.4485126,15.52083139
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,98800,446.5896747,18.50341078
Deep Conversion: FCC (4),4,SMR,PSA inlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,78850,395.9182635,21.99410378
Deep Conversion: FCC (4),4,SMR,PSA outlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,78850,353.3980722,22.75147359
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,78850,384.3883224,26.73853361
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,90345,319.5555416,43.78235439
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,90345,279.985143,44.97903296
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD1,POTENTIAL,HEAVY,SOUR,90345,311.4546481,53.6806907
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,16530,684.007474,5.697464021
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,16530,626.550362,5.898018345
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,16530,654.2651582,6.840616052
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,331125,309.4292199,64.23428691
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,331125,269.7485594,66.45138189
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,331125,311.3126308,78.0926429
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,98800,290.5936664,66.76856525
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,98800,258.1465871,69.06937987
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,98800,284.8457662,81.08316351
Deep Conversion: FCC (4),4,SMR,PSA inlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,78850,302.2415518,52.96254907
Deep Conversion: FCC (4),4,SMR,PSA outlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,78850,268.9609176,54.77476851
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,78850,295.9713193,64.1735701
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,90345,293.7635132,62.8306102
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,90345,261.3266032,64.55831981
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD1,POTENTIAL,LIGHT,SWEET,90345,288.3069281,77.03711297
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,16530,940.1131606,3.283868931
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,16530,861.160094,3.39846995
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,16530,900.353422,3.937090392
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,331125,316.9473649,55.04740643
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,331125,277.4578799,56.95741619
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,331125,316.205082,67.04615427
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,98800,329.4729978,38.46220962
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,98800,293.8552182,39.78372372
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,98800,321.191488,46.7874595
Deep Conversion: FCC (4),4,SMR,PSA inlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,78850,676.0512276,6.999010312
Deep Conversion: FCC (4),4,SMR,PSA outlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,78850,603.2210304,7.240671662
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,78850,654.675986,8.515656289
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,90345,267.1657358,92.2697024
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,90345,238.0604155,94.69165814
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2050,PADD1,POTENTIAL,HEAVY,SOUR,90345,262.9266408,112.8054163
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,16530,689.4813363,5.622856914
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,16530,631.0613005,5.820091781
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,16530,659.8430784,6.747088166
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,331125,257.1147574,124.6843898
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,331125,224.4355783,129.0011929
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,331125,258.5871689,152.1468704
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,98800,501.7666488,12.68367079
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,98800,446.1535975,13.00822588
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,98800,494.4674322,15.48495555
Deep Conversion: FCC (4),4,SMR,PSA inlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,78850,383.5522719,24.62223768
Deep Conversion: FCC (4),4,SMR,PSA outlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,78850,343.6820206,25.48283301
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,78850,369.8056712,29.97109363
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,90345,448.3632723,16.28959088
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,90345,398.4791926,16.72184637
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2050,PADD1,POTENTIAL,LIGHT,SWEET,90345,441.0488942,19.9250211
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD2,LOW,HEAVY,SOUR,7241.56591,1149.773873,1.694641841
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD2,LOW,HEAVY,SOUR,7241.56591,1055.727267,1.752534661
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD2,LOW,HEAVY,SOUR,7241.56591,1109.515979,2.02462872
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD2,LOW,HEAVY,SOUR,564269.9745,213.7463243,106.659974
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD2,LOW,HEAVY,SOUR,564269.9745,183.355681,110.3068136
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD2,LOW,HEAVY,SOUR,564269.9745,222.2294034,129.4102195
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD2,LOW,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD2,LOW,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD2,LOW,HEAVY,SOUR,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD2,LOW,HEAVY,SOUR,266878.8766,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD2,LOW,HEAVY,SOUR,266878.8766,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2035,PADD2,LOW,HEAVY,SOUR,266878.8766,0,0
Deep Conversion: FCC (4),4,SMR,PSA inlet,2035,PADD2,LOW,HEAVY,SOUR,1476112.189,176.4260996,330.2858335
Deep Conversion: FCC (4),4,SMR,PSA outlet,2035,PADD2,LOW,HEAVY,SOUR,1476112.189,147.6438198,341.5490144
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2035,PADD2,LOW,HEAVY,SOUR,1476112.189,191.2180565,400.876187
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2035,PADD2,LOW,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2035,PADD2,LOW,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2035,PADD2,LOW,HEAVY,SOUR,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2035,PADD2,LOW,HEAVY,SOUR,1457802.155,155.6060316,726.5705934
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD2,LOW,HEAVY,SOUR,1457802.155,130.0369114,751.2797447
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD2,LOW,HEAVY,SOUR,1457802.155,169.5281045,880.5617921
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD2,LOW,LIGHT,SWEET,7241.56591,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD2,LOW,LIGHT,SWEET,7241.56591,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD2,LOW,LIGHT,SWEET,7241.56591,0,0
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD2,LOW,LIGHT,SWEET,564269.9745,0,0
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD2,LOW,LIGHT,SWEET,564269.9745,0,0
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD2,LOW,LIGHT,SWEET,564269.9745,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD2,LOW,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD2,LOW,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD2,LOW,LIGHT,SWEET,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD2,LOW,LIGHT,SWEET,266878.8766,2354.906295,1.514274354
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD2,LOW,LIGHT,SWEET,266878.8766,2032.402814,1.566051052
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2035,PADD2,LOW,LIGHT,SWEET,266878.8766,2403.626265,1.833963977
Deep Conversion: FCC (4),4,SMR,PSA inlet,2035,PADD2,LOW,LIGHT,SWEET,1476112.189,191.6664793,240.8192598
Deep Conversion: FCC (4),4,SMR,PSA outlet,2035,PADD2,LOW,LIGHT,SWEET,1476112.189,159.6016536,249.0487521
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2035,PADD2,LOW,LIGHT,SWEET,1476112.189,209.1693065,291.9900493
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2035,PADD2,LOW,LIGHT,SWEET,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2035,PADD2,LOW,LIGHT,SWEET,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2035,PADD2,LOW,LIGHT,SWEET,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2035,PADD2,LOW,LIGHT,SWEET,1457802.155,149.3443638,1083.482036
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD2,LOW,LIGHT,SWEET,1457802.155,124.5398898,1120.477613
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD2,LOW,LIGHT,SWEET,1457802.155,163.3455559,1312.777129
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD2,LOW,HEAVY,SOUR,1000.000025,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD2,LOW,HEAVY,SOUR,1000.000025,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD2,LOW,HEAVY,SOUR,1000.000025,0,0
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD2,LOW,HEAVY,SOUR,557951.9762,210.8932751,98.04615233
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD2,LOW,HEAVY,SOUR,557951.9762,182.2275221,101.3536288
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD2,LOW,HEAVY,SOUR,557951.9762,217.2707305,118.7969125
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD2,LOW,HEAVY,SOUR,1000.000025,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD2,LOW,HEAVY,SOUR,1000.000025,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD2,LOW,HEAVY,SOUR,1000.000025,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD2,LOW,HEAVY,SOUR,53156.01853,277.018896,27.17813268
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD2,LOW,HEAVY,SOUR,53156.01853,244.2522552,27.82502682
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2050,PADD2,LOW,HEAVY,SOUR,53156.01853,279.8284803,33.05030379
Deep Conversion: FCC (4),4,SMR,PSA inlet,2050,PADD2,LOW,HEAVY,SOUR,1456741.391,177.2675654,290.7150958
Deep Conversion: FCC (4),4,SMR,PSA outlet,2050,PADD2,LOW,HEAVY,SOUR,1456741.391,149.0259775,300.6001339
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2050,PADD2,LOW,HEAVY,SOUR,1456741.391,191.0100873,352.8634209
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2050,PADD2,LOW,HEAVY,SOUR,1000.000025,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2050,PADD2,LOW,HEAVY,SOUR,1000.000025,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2050,PADD2,LOW,HEAVY,SOUR,1000.000025,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2050,PADD2,LOW,HEAVY,SOUR,1702246.837,153.1587993,785.0096004
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2050,PADD2,LOW,HEAVY,SOUR,1702246.837,128.0960629,811.6069171
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2050,PADD2,LOW,HEAVY,SOUR,1702246.837,166.8092435,950.8906412
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD2,LOW,LIGHT,SWEET,158800.2699,321.6592621,21.03918513
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD2,LOW,LIGHT,SWEET,158800.2699,283.3518714,21.76179453
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD2,LOW,LIGHT,SWEET,158800.2699,323.6065111,25.15803125
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD2,LOW,LIGHT,SWEET,866514.2998,0,0
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD2,LOW,LIGHT,SWEET,866514.2998,0,0
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD2,LOW,LIGHT,SWEET,866514.2998,0,0
