Electrification Scenarios,Year,PADD,API Level,Sul Level,Attribute,Value,,,
LOW,2035,PADD 2,HEAVY,SOUR,3,432.5368125,7.074690236,38.64486693,50.90397862
LOW,2035,PADD 2,HEAVY,SOUR,4,1344.342894,39.13024749,38.64486693,50.90397862
LOW,2035,PADD 2,HEAVY,SOUR,5,0,0,38.64486693,50.90397862
LOW,2035,PADD 2,HEAVY,SOUR,6,1049.676546,38.64486693,38.64486693,50.90397862
LOW,2035,PADD 2,LIGHT,SWEET,0,69.09440916,0.191966619,38.64486693,50.90397862
LOW,2035,PADD 2,LIGHT,SWEET,1,829.6967476,14.95822873,38.64486693,50.90397862
LOW,2035,PADD 2,LIGHT,SWEET,2,0,0,38.64486693,50.90397862
LOW,2035,PADD 2,LIGHT,SWEET,3,463.4374666,7.074690236,38.64486693,50.90397862
LOW,2035,PADD 2,LIGHT,SWEET,4,1306.617448,39.13024749,38.64486693,50.90397862
LOW,2035,PADD 2,LIGHT,SWEET,5,0,0,38.64486693,50.90397862
LOW,2035,PADD 2,LIGHT,SWEET,6,762.3051341,38.64486693,38.64486693,50.90397862
LOW,2035,PADD 2,LIGHT,SOUR,0,69.09440916,0.191966619,38.64486693,50.90397862
LOW,2035,PADD 2,LIGHT,SOUR,1,829.6967476,14.95822873,38.64486693,50.90397862
LOW,2035,PADD 2,LIGHT,SOUR,2,0,0,38.64486693,50.90397862
LOW,2035,PADD 2,LIGHT,SOUR,3,463.4374666,7.074690236,38.64486693,50.90397862
LOW,2035,PADD 2,LIGHT,SOUR,4,1306.617448,39.13024749,38.64486693,50.90397862
LOW,2035,PADD 2,LIGHT,SOUR,5,0,0,38.64486693,50.90397862
LOW,2035,PADD 2,LIGHT,SOUR,6,762.3051341,38.64486693,38.64486693,50.90397862
LOW,2050,PADD 2,HEAVY,SWEET,0,89.58397872,4.212101348,36.51756315,46.89186137
LOW,2050,PADD 2,HEAVY,SWEET,1,540.3902222,17.28920747,36.51756315,46.89186137
LOW,2050,PADD 2,HEAVY,SWEET,2,0,0,36.51756315,46.89186137
LOW,2050,PADD 2,HEAVY,SWEET,3,431.4992187,1.40993798,36.51756315,46.89186137
LOW,2050,PADD 2,HEAVY,SWEET,4,1350.908343,40.57119005,36.51756315,46.89186137
LOW,2050,PADD 2,HEAVY,SWEET,5,0,0,36.51756315,46.89186137
LOW,2050,PADD 2,HEAVY,SWEET,6,1086.019979,36.51756315,36.51756315,46.89186137
LOW,2050,PADD 2,HEAVY,SOUR,0,89.58397872,0,45.15128357,48.28352112
LOW,2050,PADD 2,HEAVY,SOUR,1,540.3902222,14.79940944,45.15128357,48.28352112
LOW,2050,PADD 2,HEAVY,SOUR,2,0,0,45.15128357,48.28352112
LOW,2050,PADD 2,HEAVY,SOUR,3,431.4992187,1.40993798,45.15128357,48.28352112
LOW,2050,PADD 2,HEAVY,SOUR,4,1350.908343,38.63936901,45.15128357,48.28352112
LOW,2050,PADD 2,HEAVY,SOUR,5,0,0,45.15128357,48.28352112
LOW,2050,PADD 2,HEAVY,SOUR,6,1086.019979,45.15128357,45.15128357,48.28352112
LOW,2050,PADD 2,LIGHT,SWEET,0,113.2053962,4.212101348,23.22082533,46.89186137
LOW,2050,PADD 2,LIGHT,SWEET,1,890.2828743,22.98387814,23.22082533,46.89186137
LOW,2050,PADD 2,LIGHT,SWEET,2,0,0,23.22082533,46.89186137
LOW,2050,PADD 2,LIGHT,SWEET,3,406.0240096,12.97458964,23.22082533,46.89186137
LOW,2050,PADD 2,LIGHT,SWEET,4,1272.310228,36.60860555,23.22082533,46.89186137
LOW,2050,PADD 2,LIGHT,SWEET,5,0,0,23.22082533,46.89186137
LOW,2050,PADD 2,LIGHT,SWEET,6,814.1785971,23.22082533,23.22082533,46.89186137
LOW,2050,PADD 2,LIGHT,SOUR,0,113.2053962,0,45.15128357,46.89186137
LOW,2050,PADD 2,LIGHT,SOUR,1,890.2828743,14.79940944,45.15128357,46.89186137
LOW,2050,PADD 2,LIGHT,SOUR,2,0,0,45.15128357,46.89186137
LOW,2050,PADD 2,LIGHT,SOUR,3,406.0240096,1.40993798,45.15128357,46.89186137
LOW,2050,PADD 2,LIGHT,SOUR,4,1272.310228,38.63936901,45.15128357,46.89186137
LOW,2050,PADD 2,LIGHT,SOUR,5,0,0,45.15128357,46.89186137
LOW,2050,PADD 2,LIGHT,SOUR,6,814.1785971,45.15128357,45.15128357,46.89186137
LOW,2035,PADD 3,HEAVY,SWEET,0,653.5772008,3.121057239,50.90397862,50.90397862
LOW,2035,PADD 3,HEAVY,SWEET,1,666.5137214,9.058350961,50.90397862,50.90397862
LOW,2035,PADD 3,HEAVY,SWEET,2,305.8492271,3.211742879,50.90397862,50.90397862
LOW,2035,PADD 3,HEAVY,SWEET,3,777.9868726,10.46044022,50.90397862,50.90397862
LOW,2035,PADD 3,HEAVY,SWEET,4,1663.394848,22.57986693,50.90397862,50.90397862
LOW,2035,PADD 3,HEAVY,SWEET,5,0.006609943,0.664563151,50.90397862,50.90397862
LOW,2035,PADD 3,HEAVY,SWEET,6,4407.481892,50.90397862,50.90397862,50.90397862
LOW,2035,PADD 3,HEAVY,SOUR,0,653.5772008,3.121057239,50.90397862,50.90397862
LOW,2035,PADD 3,HEAVY,SOUR,1,666.5137214,9.058350961,50.90397862,50.90397862
LOW,2035,PADD 3,HEAVY,SOUR,2,305.8492271,3.211742879,50.90397862,50.90397862
LOW,2035,PADD 3,HEAVY,SOUR,3,777.9868726,10.46044022,50.90397862,50.90397862
LOW,2035,PADD 3,HEAVY,SOUR,4,1663.394848,22.57986693,50.90397862,50.90397862
LOW,2035,PADD 3,HEAVY,SOUR,5,0.006609943,0.664563151,50.90397862,50.90397862
LOW,2035,PADD 3,HEAVY,SOUR,6,4407.481892,50.90397862,50.90397862,50.90397862
LOW,2035,PADD 3,LIGHT,SWEET,0,818.9013386,3.121057239,50.90397862,50.90397862
LOW,2035,PADD 3,LIGHT,SWEET,1,927.5088239,9.058350961,50.90397862,50.90397862
LOW,2035,PADD 3,LIGHT,SWEET,2,305.8551604,3.211742879,50.90397862,50.90397862
LOW,2035,PADD 3,LIGHT,SWEET,3,1379.024205,10.46044022,50.90397862,50.90397862
LOW,2035,PADD 3,LIGHT,SWEET,4,1828.643796,22.57986693,50.90397862,50.90397862
LOW,2035,PADD 3,LIGHT,SWEET,5,53.62998821,0.664563151,50.90397862,50.90397862
LOW,2035,PADD 3,LIGHT,SWEET,6,2993.442494,50.90397862,50.90397862,50.90397862
LOW,2035,PADD 3,LIGHT,SOUR,0,818.9013386,3.121057239,50.90397862,50.90397862
LOW,2035,PADD 3,LIGHT,SOUR,1,927.5088239,9.058350961,50.90397862,50.90397862
LOW,2035,PADD 3,LIGHT,SOUR,2,305.8551604,3.211742879,50.90397862,50.90397862
LOW,2035,PADD 3,LIGHT,SOUR,3,1379.024205,10.46044022,50.90397862,50.90397862
LOW,2035,PADD 3,LIGHT,SOUR,4,1828.643796,22.57986693,50.90397862,50.90397862
LOW,2035,PADD 3,LIGHT,SOUR,5,53.62998821,0.664563151,50.90397862,50.90397862
LOW,2035,PADD 3,LIGHT,SOUR,6,2993.442494,50.90397862,50.90397862,50.90397862
LOW,2050,PADD 3,HEAVY,SWEET,0,524.9858601,3.20362489,46.89186137,46.89186137
LOW,2050,PADD 3,HEAVY,SWEET,1,651.2816521,11.05634247,46.89186137,46.89186137
LOW,2050,PADD 3,HEAVY,SWEET,2,315.8815829,3.388002697,46.89186137,46.89186137
LOW,2050,PADD 3,HEAVY,SWEET,3,821.8318613,10.55683119,46.89186137,46.89186137
LOW,2050,PADD 3,HEAVY,SWEET,4,1725.265211,23.96413595,46.89186137,46.89186137
LOW,2050,PADD 3,HEAVY,SWEET,5,0.007217712,0.939201428,46.89186137,46.89186137
LOW,2050,PADD 3,HEAVY,SWEET,6,4529.642375,46.89186137,46.89186137,46.89186137
LOW,2050,PADD 3,HEAVY,SOUR,0,524.9858601,3.20362489,48.28352112,48.28352112
LOW,2050,PADD 3,HEAVY,SOUR,1,651.2816521,11.05634247,48.28352112,48.28352112
LOW,2050,PADD 3,HEAVY,SOUR,2,315.8815829,2.935544371,48.28352112,48.28352112
LOW,2050,PADD 3,HEAVY,SOUR,3,821.8318613,10.55683119,48.28352112,48.28352112
LOW,2050,PADD 3,HEAVY,SOUR,4,1725.265211,23.96413595,48.28352112,48.28352112
LOW,2050,PADD 3,HEAVY,SOUR,5,0.007217712,0,48.28352112,48.28352112
LOW,2050,PADD 3,HEAVY,SOUR,6,4529.642375,48.28352112,48.28352112,48.28352112
