Refinery Configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Total Avoided CO2,kt/y","Marginal Abatement Cost, $/t"
Deep Conversion: FCC & GO-HC (6),6,Coker,2035,1,LOW,HEAVY,SOUR,67.82188686,357.0762687
Deep Conversion: FCC & GO-HC (6),6,Hydrotreater,2035,1,LOW,HEAVY,SOUR,151.4247047,311.8642334
Deep Conversion: FCC & GO-HC (6),6,Steam Boiler,2035,1,LOW,HEAVY,SOUR,27.72218358,434.8924982
Deep Conversion: FCC & GO-HC (6),6,SMR,2035,1,LOW,HEAVY,SOUR,48.05469099,323.4243707
Deep Conversion: FCC & GO-HC (6),6,Others,2035,1,LOW,HEAVY,SOUR,44.7972395,388.2388852
Hydroskimming Configuration (0),0,ADU/VDU,2050,1,LOW,HEAVY,SOUR,15.71913893,481.8039026
Hydroskimming Configuration (0),0,CNR,2050,1,LOW,HEAVY,SOUR,11.99225026,523.5681007
Hydroskimming Configuration (0),0,FCC/RFCC,2050,1,LOW,HEAVY,SOUR,3.55E-17,0
Hydroskimming Configuration (0),0,Coker,2050,1,LOW,HEAVY,SOUR,2.22E-17,0
Hydroskimming Configuration (0),0,Hydrotreater,2050,1,LOW,HEAVY,SOUR,11.5774538,538.3298195
Hydroskimming Configuration (0),0,Steam Boiler,2050,1,LOW,HEAVY,SOUR,2.110392845,1172.774059
Hydroskimming Configuration (0),0,SMR,2050,1,LOW,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,Others,2050,1,LOW,HEAVY,SOUR,5.813114205,699.9193465
Medium Conversion:  FCC (1),1,ADU/VDU,2050,1,LOW,HEAVY,SOUR,556.3474258,264.123021
Medium Conversion:  FCC (1),1,CNR,2050,1,LOW,HEAVY,SOUR,227.3468301,294.5293334
Medium Conversion:  FCC (1),1,FCC/RFCC,2050,1,LOW,HEAVY,SOUR,550.1732144,175.5361018
Medium Conversion:  FCC (1),1,Coker,2050,1,LOW,HEAVY,SOUR,355.8582702,277.9410227
Medium Conversion:  FCC (1),1,Hydrotreater,2050,1,LOW,HEAVY,SOUR,503.7016789,267.3699657
Medium Conversion:  FCC (1),1,Steam Boiler,2050,1,LOW,HEAVY,SOUR,64.67576953,374.4173691
Medium Conversion:  FCC (1),1,SMR,2050,1,LOW,HEAVY,SOUR,38.96281551,369.1836156
Medium Conversion:  FCC (1),1,Others,2050,1,LOW,HEAVY,SOUR,106.3875841,333.5692181
Medium Conversion: GO-HC (2),2,ADU/VDU,2050,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,CNR,2050,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,FCC/RFCC,2050,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Coker,2050,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Hydrotreater,2050,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Steam Boiler,2050,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,SMR,2050,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Others,2050,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: FCC & GO-HC (3),3,ADU/VDU,2050,1,LOW,HEAVY,SOUR,132.3135662,314.2543033
Medium Conversion: FCC & GO-HC (3),3,CNR,2050,1,LOW,HEAVY,SOUR,131.2621935,314.0443461
Medium Conversion: FCC & GO-HC (3),3,FCC/RFCC,2050,1,LOW,HEAVY,SOUR,89.74173013,239.2561767
Medium Conversion: FCC & GO-HC (3),3,Coker,2050,1,LOW,HEAVY,SOUR,68.99902657,353.0922042
Medium Conversion: FCC & GO-HC (3),3,Hydrotreater,2050,1,LOW,HEAVY,SOUR,127.0643741,317.2101981
Medium Conversion: FCC & GO-HC (3),3,Steam Boiler,2050,1,LOW,HEAVY,SOUR,22.61228715,455.3208772
Medium Conversion: FCC & GO-HC (3),3,SMR,2050,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: FCC & GO-HC (3),3,Others,2050,1,LOW,HEAVY,SOUR,29.22195116,430.0609302
Deep Conversion: FCC (4),4,ADU/VDU,2050,1,LOW,HEAVY,SOUR,128.4910248,310.4711089
Deep Conversion: FCC (4),4,CNR,2050,1,LOW,HEAVY,SOUR,55.3398175,357.4293107
Deep Conversion: FCC (4),4,FCC/RFCC,2050,1,LOW,HEAVY,SOUR,161.6418053,211.8071005
Deep Conversion: FCC (4),4,Coker,2050,1,LOW,HEAVY,SOUR,58.25391023,354.4209384
Deep Conversion: FCC (4),4,Hydrotreater,2050,1,LOW,HEAVY,SOUR,127.9556141,311.5847572
Deep Conversion: FCC (4),4,Steam Boiler,2050,1,LOW,HEAVY,SOUR,18.71765396,477.2410669
Deep Conversion: FCC (4),4,SMR,2050,1,LOW,HEAVY,SOUR,43.41920784,328.2147104
Deep Conversion: FCC (4),4,Others,2050,1,LOW,HEAVY,SOUR,23.71640809,445.9375013
Deep Conversion: GO-HC (5),5,ADU/VDU,2050,1,LOW,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,CNR,2050,1,LOW,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,FCC/RFCC,2050,1,LOW,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Coker,2050,1,LOW,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Hydrotreater,2050,1,LOW,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Steam Boiler,2050,1,LOW,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,SMR,2050,1,LOW,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Others,2050,1,LOW,HEAVY,SOUR,0,0
Deep Conversion: FCC & GO-HC (6),6,ADU/VDU,2050,1,LOW,HEAVY,SOUR,186.9951661,296.8542871
Deep Conversion: FCC & GO-HC (6),6,CNR,2050,1,LOW,HEAVY,SOUR,44.05238828,377.1616378
Deep Conversion: FCC & GO-HC (6),6,FCC/RFCC,2050,1,LOW,HEAVY,SOUR,163.9599719,211.3001995
Deep Conversion: FCC & GO-HC (6),6,Coker,2050,1,LOW,HEAVY,SOUR,122.836095,314.1268162
Deep Conversion: FCC & GO-HC (6),6,Hydrotreater,2050,1,LOW,HEAVY,SOUR,118.3776395,317.3238648
Deep Conversion: FCC & GO-HC (6),6,Steam Boiler,2050,1,LOW,HEAVY,SOUR,17.98840801,482.2055165
Deep Conversion: FCC & GO-HC (6),6,SMR,2050,1,LOW,HEAVY,SOUR,139.7381846,253.5872578
Deep Conversion: FCC & GO-HC (6),6,Others,2050,1,LOW,HEAVY,SOUR,67.28745911,346.9227352
Hydroskimming Configuration (0),0,ADU/VDU,2035,1,MEDIUM,HEAVY,SOUR,13.67377039,502.2179198
Hydroskimming Configuration (0),0,CNR,2035,1,MEDIUM,HEAVY,SOUR,9.130166157,575.2844215
Hydroskimming Configuration (0),0,FCC/RFCC,2035,1,MEDIUM,HEAVY,SOUR,3.55E-17,0
Hydroskimming Configuration (0),0,Coker,2035,1,MEDIUM,HEAVY,SOUR,2.13E-17,0
Hydroskimming Configuration (0),0,Hydrotreater,2035,1,MEDIUM,HEAVY,SOUR,10.17487225,562.9158641
Hydroskimming Configuration (0),0,Steam Boiler,2035,1,MEDIUM,HEAVY,SOUR,1.993795261,1214.187825
Hydroskimming Configuration (0),0,SMR,2035,1,MEDIUM,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,Others,2035,1,MEDIUM,HEAVY,SOUR,5.005002087,747.4024982
Medium Conversion:  FCC (1),1,ADU/VDU,2035,1,MEDIUM,HEAVY,SOUR,420.1139258,274.5618029
Medium Conversion:  FCC (1),1,CNR,2035,1,MEDIUM,HEAVY,SOUR,280.9756306,288.0977328
Medium Conversion:  FCC (1),1,FCC/RFCC,2035,1,MEDIUM,HEAVY,SOUR,373.3397682,186.7034919
Medium Conversion:  FCC (1),1,Coker,2035,1,MEDIUM,HEAVY,SOUR,191.7230159,303.1918308
Medium Conversion:  FCC (1),1,Hydrotreater,2035,1,MEDIUM,HEAVY,SOUR,414.6413394,274.3981988
Medium Conversion:  FCC (1),1,Steam Boiler,2035,1,MEDIUM,HEAVY,SOUR,67.21826382,372.0029667
Medium Conversion:  FCC (1),1,SMR,2035,1,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion:  FCC (1),1,Others,2035,1,MEDIUM,HEAVY,SOUR,87.15189192,350.3079596
Medium Conversion: GO-HC (2),2,ADU/VDU,2035,1,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,CNR,2035,1,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,FCC/RFCC,2035,1,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Coker,2035,1,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Hydrotreater,2035,1,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Steam Boiler,2035,1,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,SMR,2035,1,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Others,2035,1,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: FCC & GO-HC (3),3,ADU/VDU,2035,1,MEDIUM,HEAVY,SOUR,117.1910968,317.4928768
Medium Conversion: FCC & GO-HC (3),3,CNR,2035,1,MEDIUM,HEAVY,SOUR,47.71914088,369.6879199
Medium Conversion: FCC & GO-HC (3),3,FCC/RFCC,2035,1,MEDIUM,HEAVY,SOUR,85.64786197,240.4222583
Medium Conversion: FCC & GO-HC (3),3,Coker,2035,1,MEDIUM,HEAVY,SOUR,53.62332486,361.5780128
Medium Conversion: FCC & GO-HC (3),3,Hydrotreater,2035,1,MEDIUM,HEAVY,SOUR,87.60339111,334.9463528
Medium Conversion: FCC & GO-HC (3),3,Steam Boiler,2035,1,MEDIUM,HEAVY,SOUR,14.73979004,509.3327798
Medium Conversion: FCC & GO-HC (3),3,SMR,2035,1,MEDIUM,HEAVY,SOUR,69.1351465,292.6915495
Medium Conversion: FCC & GO-HC (3),3,Others,2035,1,MEDIUM,HEAVY,SOUR,43.76980317,379.1502538
Deep Conversion: FCC (4),4,ADU/VDU,2035,1,MEDIUM,HEAVY,SOUR,100.9761099,323.7916019
Deep Conversion: FCC (4),4,CNR,2035,1,MEDIUM,HEAVY,SOUR,61.22727209,350.0757834
Deep Conversion: FCC (4),4,FCC/RFCC,2035,1,MEDIUM,HEAVY,SOUR,122.095964,222.1746539
Deep Conversion: FCC (4),4,Coker,2035,1,MEDIUM,HEAVY,SOUR,45.09497808,374.253069
Deep Conversion: FCC (4),4,Hydrotreater,2035,1,MEDIUM,HEAVY,SOUR,109.5783597,320.3738661
Deep Conversion: FCC (4),4,Steam Boiler,2035,1,MEDIUM,HEAVY,SOUR,16.39517838,494.4426786
Deep Conversion: FCC (4),4,SMR,2035,1,MEDIUM,HEAVY,SOUR,36.08235733,345.5543235
Deep Conversion: FCC (4),4,Others,2035,1,MEDIUM,HEAVY,SOUR,24.96041774,436.5278225
Deep Conversion: GO-HC (5),5,ADU/VDU,2035,1,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,CNR,2035,1,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,FCC/RFCC,2035,1,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Coker,2035,1,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Hydrotreater,2035,1,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Steam Boiler,2035,1,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,SMR,2035,1,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Others,2035,1,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: FCC & GO-HC (6),6,ADU/VDU,2035,1,MEDIUM,HEAVY,SOUR,127.6146769,315.7582601
Deep Conversion: FCC & GO-HC (6),6,CNR,2035,1,MEDIUM,HEAVY,SOUR,88.40299657,335.1884136
Deep Conversion: FCC & GO-HC (6),6,FCC/RFCC,2035,1,MEDIUM,HEAVY,SOUR,104.9529752,230.2635725
Deep Conversion: FCC & GO-HC (6),6,Coker,2035,1,MEDIUM,HEAVY,SOUR,73.5843875,347.4912287
Deep Conversion: FCC & GO-HC (6),6,Hydrotreater,2035,1,MEDIUM,HEAVY,SOUR,123.9647095,318.1300693
Deep Conversion: FCC & GO-HC (6),6,Steam Boiler,2035,1,MEDIUM,HEAVY,SOUR,19.46979726,472.5568654
Deep Conversion: FCC & GO-HC (6),6,SMR,2035,1,MEDIUM,HEAVY,SOUR,49.12483989,317.1798864
Deep Conversion: FCC & GO-HC (6),6,Others,2035,1,MEDIUM,HEAVY,SOUR,36.70825639,400.9896812
Hydroskimming Configuration (0),0,ADU/VDU,2050,1,MEDIUM,HEAVY,SOUR,10.57122945,546.095001
Hydroskimming Configuration (0),0,CNR,2050,1,MEDIUM,HEAVY,SOUR,8.950831622,577.593439
Hydroskimming Configuration (0),0,FCC/RFCC,2050,1,MEDIUM,HEAVY,SOUR,3.54E-17,0
Hydroskimming Configuration (0),0,Coker,2050,1,MEDIUM,HEAVY,SOUR,1.84E-17,0
Hydroskimming Configuration (0),0,Hydrotreater,2050,1,MEDIUM,HEAVY,SOUR,9.403670608,578.4534437
Hydroskimming Configuration (0),0,Steam Boiler,2050,1,MEDIUM,HEAVY,SOUR,1.64211587,1360.977252
Hydroskimming Configuration (0),0,SMR,2050,1,MEDIUM,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,Others,2050,1,MEDIUM,HEAVY,SOUR,2.649853261,1046.112544
Medium Conversion:  FCC (1),1,ADU/VDU,2050,1,MEDIUM,HEAVY,SOUR,378.3571993,273.3960949
Medium Conversion:  FCC (1),1,CNR,2050,1,MEDIUM,HEAVY,SOUR,73.8861622,350.6978955
Medium Conversion:  FCC (1),1,FCC/RFCC,2050,1,MEDIUM,HEAVY,SOUR,389.9620516,184.0292333
Medium Conversion:  FCC (1),1,Coker,2050,1,MEDIUM,HEAVY,SOUR,183.3166091,299.0276611
Medium Conversion:  FCC (1),1,Hydrotreater,2050,1,MEDIUM,HEAVY,SOUR,352.2570789,276.0585585
Medium Conversion:  FCC (1),1,Steam Boiler,2050,1,MEDIUM,HEAVY,SOUR,42.00775977,398.3145956
Medium Conversion:  FCC (1),1,SMR,2050,1,MEDIUM,HEAVY,SOUR,129.6546267,259.2701704
Medium Conversion:  FCC (1),1,Others,2050,1,MEDIUM,HEAVY,SOUR,79.59655109,345.8490187
Medium Conversion: GO-HC (2),2,ADU/VDU,2050,1,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,CNR,2050,1,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,FCC/RFCC,2050,1,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Coker,2050,1,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Hydrotreater,2050,1,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Steam Boiler,2050,1,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,SMR,2050,1,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Others,2050,1,MEDIUM,HEAVY,SOUR,0,0
