Refinery configuration,Config,Capture Scenario,SMR Capture Locations,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd",Avoidance Cost,"Avoided CO2, kt/y",Normalized Avoidance cost,Normalized Avoided CO2
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD1,LOW,LIGHT,SWEET,105448.553,212.2920432,101.6374348,235.129054,97.27835195
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD1,LOW,LIGHT,SWEET,105448.553,239.5915359,119.0003612,263.9918659,113.8966075
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD1,LOW,HEAVY,SOUR,14927.56494,655.618469,5.699801525,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD1,LOW,HEAVY,SOUR,14927.56494,600.2062017,5.894356527,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD1,LOW,HEAVY,SOUR,14927.56494,629.8373884,6.808757648,0,0
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD1,LOW,HEAVY,SOUR,353683.2864,220.0234457,158.026193,368.4901378,32.23579974
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD1,LOW,HEAVY,SOUR,353683.2864,191.4683452,163.4413109,322.0527938,33.3404309
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD1,LOW,HEAVY,SOUR,353683.2864,220.4498768,192.0357879,369.1836156,39.17342489
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD1,LOW,HEAVY,SOUR,1000,2003.881529,1.045093839,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD1,LOW,HEAVY,SOUR,1000,1874.495902,1.060119805,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD1,LOW,HEAVY,SOUR,1000,1989.425266,1.23405618,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD1,LOW,HEAVY,SOUR,89115.14903,287.1818575,47.6007994,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD1,LOW,HEAVY,SOUR,89115.14903,255.5585642,49.22365367,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2050,PADD1,LOW,HEAVY,SOUR,89115.14903,279.4586176,57.68023403,0,0
Deep Conversion: FCC (4),4,SMR,PSA inlet,2050,PADD1,LOW,HEAVY,SOUR,84221.75049,280.5694577,52.61271456,337.023168,35.92510766
Deep Conversion: FCC (4),4,SMR,PSA outlet,2050,PADD1,LOW,HEAVY,SOUR,84221.75049,249.1928204,54.41444932,300.5275662,37.15537141
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2050,PADD1,LOW,HEAVY,SOUR,84221.75049,272.9964964,63.93162425,328.2147104,43.65390578
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2050,PADD1,LOW,HEAVY,SOUR,1000,1704.159599,1.284199023,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2050,PADD1,LOW,HEAVY,SOUR,1000,1594.78177,1.300799075,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2050,PADD1,LOW,HEAVY,SOUR,1000,1681.761092,1.527679892,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2050,PADD1,LOW,HEAVY,SOUR,115644.1412,252.2218715,82.303615,257.2269963,115.9543987
