Refinery configuration,Config,Capture Scenario,SMR Capture Locations,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd",Avoidance Cost,"Avoided CO2, kt/y",Normalized Avoidance cost,Normalized Avoided CO2
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD2,LOW,LIGHT,SWEET,158800.2699,204.4573786,76.09131343,321.6592621,21.03918513
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD2,LOW,LIGHT,SWEET,158800.2699,179.2716841,78.7047368,283.3518714,21.76179453
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD2,LOW,LIGHT,SWEET,158800.2699,205.7376229,90.98772737,323.6065111,25.15803125
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD2,LOW,LIGHT,SWEET,866514.2998,146.2248879,475.734797,0,0
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD2,LOW,LIGHT,SWEET,866514.2998,123.180075,492.1240725,0,0
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD2,LOW,LIGHT,SWEET,866514.2998,154.3268894,578.2346339,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD2,LOW,LIGHT,SWEET,999.9999997,1573.177036,1.061592975,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD2,LOW,LIGHT,SWEET,999.9999997,1468.284541,1.079836366,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD2,LOW,LIGHT,SWEET,999.9999997,1551.636943,1.259337042,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD2,LOW,LIGHT,SWEET,489154.5017,153.0536104,340.8703365,308.2670466,35.87892073
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD2,LOW,LIGHT,SWEET,489154.5017,129.9416782,352.5749704,263.3297751,37.11091304
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2050,PADD2,LOW,LIGHT,SWEET,489154.5017,159.7829726,413.5703497,321.3511615,43.53109146
Deep Conversion: FCC (4),4,SMR,PSA inlet,2050,PADD2,LOW,LIGHT,SWEET,1380179.621,128.7772927,1118.281024,169.7295237,460.5499578
Deep Conversion: FCC (4),4,SMR,PSA outlet,2050,PADD2,LOW,LIGHT,SWEET,1380179.621,106.2861645,1156.592969,141.9513094,476.3282499
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2050,PADD2,LOW,LIGHT,SWEET,1380179.621,140.4220943,1357.632981,184.1117188,559.1240472
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2050,PADD2,LOW,LIGHT,SWEET,999.9999997,1376.145586,1.256988593,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2050,PADD2,LOW,LIGHT,SWEET,999.9999997,1285.441924,1.276156627,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2050,PADD2,LOW,LIGHT,SWEET,999.9999997,1362.515404,1.485346762,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2050,PADD2,LOW,LIGHT,SWEET,875447.4367,136.5823111,752.5942467,164.3456978,526.5322536
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2050,PADD2,LOW,LIGHT,SWEET,875447.4367,113.7015817,778.3136432,138.6031019,544.5261353
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2050,PADD2,LOW,LIGHT,SWEET,875447.4367,147.5616611,912.181903,176.6983185,638.1834504
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD2,MEDIUM,HEAVY,SOUR,5871.835395,796.5578396,2.76374771,1297.209969,1.431138864
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD2,MEDIUM,HEAVY,SOUR,5871.835395,731.606665,2.85809473,1192.30656,1.47999415
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD2,MEDIUM,HEAVY,SOUR,5871.835395,769.1218802,3.301522139,1252.897827,1.709612142
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD2,MEDIUM,HEAVY,SOUR,457539.2187,162.8480129,239.2414598,0,0
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD2,MEDIUM,HEAVY,SOUR,457539.2187,139.5101247,247.4303675,0,0
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD2,MEDIUM,HEAVY,SOUR,457539.2187,167.747946,290.1163433,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD2,MEDIUM,HEAVY,SOUR,1000,1643.600303,1.0025982,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD2,MEDIUM,HEAVY,SOUR,1000,1536.222047,1.018215618,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD2,MEDIUM,HEAVY,SOUR,1000,1627.079702,1.18607199,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD2,MEDIUM,HEAVY,SOUR,216399.1674,174.8425965,155.9332252,222.6075715,78.96149679
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD2,MEDIUM,HEAVY,SOUR,216399.1674,151.1824296,161.2394582,193.9289668,81.64846808
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2035,PADD2,MEDIUM,HEAVY,SOUR,216399.1674,177.9540516,188.7090812,226.3789815,95.5585411
Deep Conversion: FCC (4),4,SMR,PSA inlet,2035,PADD2,MEDIUM,HEAVY,SOUR,1196907.949,133.1974994,844.5281008,157.6625174,641.6886427
Deep Conversion: FCC (4),4,SMR,PSA outlet,2035,PADD2,MEDIUM,HEAVY,SOUR,1196907.949,110.6543595,873.2073084,132.7863188,663.4796545
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2035,PADD2,MEDIUM,HEAVY,SOUR,1196907.949,144.3525032,1023.211198,169.9719868,777.4554858
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2035,PADD2,MEDIUM,HEAVY,SOUR,1000,1244.045666,1.430303114,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2035,PADD2,MEDIUM,HEAVY,SOUR,1000,1162.908702,1.44956216,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2035,PADD2,MEDIUM,HEAVY,SOUR,1000,1235.165888,1.686126544,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2035,PADD2,MEDIUM,HEAVY,SOUR,1182061.228,125.3499914,1249.949628,149.6524157,954.7114697
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD2,MEDIUM,HEAVY,SOUR,1182061.228,103.3981484,1283.329674,125.3149537,980.2071474
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD2,MEDIUM,HEAVY,SOUR,1182061.228,137.7672483,1529.779273,163.4191194,1168.44534
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD2,MEDIUM,LIGHT,SWEET,5871.835252,901.7305089,2.313513955,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD2,MEDIUM,LIGHT,SWEET,5871.835252,828.350634,2.393958194,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD2,MEDIUM,LIGHT,SWEET,5871.835252,868.8426457,2.772043063,0,0
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD2,MEDIUM,LIGHT,SWEET,457539.2075,157.0408052,298.6755998,230.8469918,79.6968064
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD2,MEDIUM,LIGHT,SWEET,457539.2075,133.7816987,308.9434628,198.2383491,82.4366214
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD2,MEDIUM,LIGHT,SWEET,457539.2075,163.087355,363.1033484,239.3240923,96.88832057
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD2,MEDIUM,LIGHT,SWEET,999.9999756,1134.151101,1.617584847,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD2,MEDIUM,LIGHT,SWEET,999.9999756,1060.921294,1.636156916,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD2,MEDIUM,LIGHT,SWEET,999.9999756,1106.191894,1.954758104,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD2,MEDIUM,LIGHT,SWEET,216399.1621,173.4359099,166.2321607,252.4336662,52.64558308
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD2,MEDIUM,LIGHT,SWEET,216399.1621,149.6747074,171.9299132,219.3127409,54.45005642
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2035,PADD2,MEDIUM,LIGHT,SWEET,216399.1621,176.6763704,201.5409854,256.9505693,63.82785765
Deep Conversion: FCC (4),4,SMR,PSA inlet,2035,PADD2,MEDIUM,LIGHT,SWEET,1196907.92,130.6816254,1000.088813,183.6576711,276.190007
Deep Conversion: FCC (4),4,SMR,PSA outlet,2035,PADD2,MEDIUM,LIGHT,SWEET,1196907.92,108.1408904,1034.306321,153.8214655,285.6397015
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2035,PADD2,MEDIUM,LIGHT,SWEET,1196907.92,142.040499,1213.711245,198.6929256,335.1851484
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2035,PADD2,MEDIUM,LIGHT,SWEET,999.9999756,1120.932594,1.644054326,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2035,PADD2,MEDIUM,LIGHT,SWEET,999.9999756,1048.086101,1.663741221,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2035,PADD2,MEDIUM,LIGHT,SWEET,999.9999756,1096.443499,1.978497737,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2035,PADD2,MEDIUM,LIGHT,SWEET,1182061.199,125.1137882,1299.482615,149.6041972,1017.639436
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD2,MEDIUM,LIGHT,SWEET,1182061.199,103.0739435,1333.91138,125.131533,1044.600989
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD2,MEDIUM,LIGHT,SWEET,1182061.199,137.8078078,1589.925056,163.6994181,1245.088175
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD2,MEDIUM,HEAVY,SOUR,1000,3016.150454,0.489151243,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD2,MEDIUM,HEAVY,SOUR,1000,2779.842299,0.505776918,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD2,MEDIUM,HEAVY,SOUR,1000,2956.910189,0.583916959,0,0
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD2,MEDIUM,HEAVY,SOUR,382902.9964,163.4737003,219.1180167,186.9650685,194.4643639
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD2,MEDIUM,HEAVY,SOUR,382902.9964,140.3417243,226.542913,162.0202489,201.0538619
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD2,MEDIUM,HEAVY,SOUR,382902.9964,168.1283567,265.4519627,191.9845085,235.5851328
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD2,MEDIUM,HEAVY,SOUR,1000,1665.24557,0.98594852,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD2,MEDIUM,HEAVY,SOUR,1000,1556.270659,1.001546465,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD2,MEDIUM,HEAVY,SOUR,1000,1648.273242,1.166540996,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD2,MEDIUM,HEAVY,SOUR,36479.12301,269.8749543,26.68578579,361.6932267,13.87610139
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD2,MEDIUM,HEAVY,SOUR,36479.12301,241.5169976,27.58900376,324.8094117,14.34575757
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2050,PADD2,MEDIUM,HEAVY,SOUR,36479.12301,262.1273968,32.26893065,351.6163555,16.7792306
Deep Conversion: FCC (4),4,SMR,PSA inlet,2050,PADD2,MEDIUM,HEAVY,SOUR,999710.8482,137.7689822,666.0893539,164.6158015,482.5202735
Deep Conversion: FCC (4),4,SMR,PSA outlet,2050,PADD2,MEDIUM,HEAVY,SOUR,999710.8482,115.1411969,688.7205143,139.3327065,498.9144609
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2050,PADD2,MEDIUM,HEAVY,SOUR,999710.8482,147.7888948,807.7930037,175.8115239,585.1714921
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2050,PADD2,MEDIUM,HEAVY,SOUR,1000,1475.43364,1.146328449,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2050,PADD2,MEDIUM,HEAVY,SOUR,1000,1380.246637,1.162164447,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2050,PADD2,MEDIUM,HEAVY,SOUR,1000,1465.360573,1.351760847,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2050,PADD2,MEDIUM,HEAVY,SOUR,1168192.68,132.7036331,852.2857186,154.28388,749.5854515
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2050,PADD2,MEDIUM,HEAVY,SOUR,1168192.68,110.2374089,881.1548537,129.9722851,774.9758613
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2050,PADD2,MEDIUM,HEAVY,SOUR,1168192.68,143.8811262,1032.387457,166.3794899,907.9849646
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD2,MEDIUM,LIGHT,SWEET,108979.0937,225.3637508,47.91715108,240.6558156,49.49413974
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD2,MEDIUM,LIGHT,SWEET,108979.0937,199.2588897,49.54914444,214.016719,51.1798432
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD2,MEDIUM,LIGHT,SWEET,108979.0937,224.6808715,57.21945127,239.9589612,59.10258547
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD2,MEDIUM,LIGHT,SWEET,621952.8396,153.4753122,323.4285407,196.564456,149.9377046
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD2,MEDIUM,LIGHT,SWEET,621952.8396,130.5789379,334.4271842,168.8330899,155.0365476
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD2,MEDIUM,LIGHT,SWEET,621952.8396,159.9420456,392.0490054,204.3967595,181.7493528
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD2,MEDIUM,LIGHT,SWEET,1000,1586.630755,1.04648969,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD2,MEDIUM,LIGHT,SWEET,1000,1484.08945,1.061582104,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD2,MEDIUM,LIGHT,SWEET,1000,1574.065167,1.235617375,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD2,MEDIUM,LIGHT,SWEET,335689.6956,169.6505138,184.6951647,202.165385,124.2710497
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD2,MEDIUM,LIGHT,SWEET,335689.6956,146.2127967,190.9726226,175.7111163,128.4948002
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2050,PADD2,MEDIUM,LIGHT,SWEET,335689.6956,173.3849268,225.7738888,206.3804357,151.9106264
Deep Conversion: FCC (4),4,SMR,PSA inlet,2050,PADD2,MEDIUM,LIGHT,SWEET,919875.7697,137.9956883,654.7289198,176.4519354,280.407451
Deep Conversion: FCC (4),4,SMR,PSA outlet,2050,PADD2,MEDIUM,LIGHT,SWEET,919875.7697,115.4156407,676.9348766,149.3268981,289.9178233
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2050,PADD2,MEDIUM,LIGHT,SWEET,919875.7697,147.8454427,794.2434758,188.2842823,340.1587769
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2050,PADD2,MEDIUM,LIGHT,SWEET,1000,1436.224563,1.186214519,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2050,PADD2,MEDIUM,LIGHT,SWEET,1000,1343.576795,1.202377958,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2050,PADD2,MEDIUM,LIGHT,SWEET,1000,1426.52751,1.398586119,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2050,PADD2,MEDIUM,LIGHT,SWEET,600788.2495,149.7452131,370.5023923,168.317156,402.4980287
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2050,PADD2,MEDIUM,LIGHT,SWEET,600788.2495,127.0283652,383.0548142,144.4030741,416.1344456
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2050,PADD2,MEDIUM,LIGHT,SWEET,600788.2495,156.97649,448.6154976,175.9295391,487.3567815
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD2,HIGH,HEAVY,SOUR,5403.377997,820.7772918,2.642601668,3029.582158,0.509563389
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD2,HIGH,HEAVY,SOUR,5403.377997,753.9740357,2.732985574,2783.873004,0.526991793
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD2,HIGH,HEAVY,SOUR,5403.377997,792.4415494,3.157786501,2925.360422,0.60890463
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD2,HIGH,HEAVY,SOUR,421036.5551,163.4632321,233.8519076,206.3845942,121.5620488
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD2,HIGH,HEAVY,SOUR,421036.5551,140.1569072,241.8399768,178.4813477,125.7144462
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD2,HIGH,HEAVY,SOUR,421036.5551,168.0802299,283.8192183,211.9122451,147.536302
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD2,HIGH,HEAVY,SOUR,999.9999997,1562.164597,1.069886994,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD2,HIGH,HEAVY,SOUR,999.9999997,1458.210616,1.088084825,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD2,HIGH,HEAVY,SOUR,999.9999997,1541.400669,1.268699105,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD2,HIGH,HEAVY,SOUR,199134.7545,186.7519602,113.921294,247.141749,49.69893961
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD2,HIGH,HEAVY,SOUR,199134.7545,162.4211249,117.8287055,216.3345122,51.40357446
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2035,PADD2,HIGH,HEAVY,SOUR,199134.7545,187.9779399,138.1840119,248.694061,60.28371537
Deep Conversion: FCC (4),4,SMR,PSA inlet,2035,PADD2,HIGH,HEAVY,SOUR,1101418.15,129.8262857,978.8531819,172.1238465,334.3630605
Deep Conversion: FCC (4),4,SMR,PSA outlet,2035,PADD2,HIGH,HEAVY,SOUR,1101418.15,107.5055736,1012.02447,144.3672054,345.6939257
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2035,PADD2,HIGH,HEAVY,SOUR,1101418.15,141.4253021,1184.381622,186.5476576,404.5688069
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2035,PADD2,HIGH,HEAVY,SOUR,999.9999997,1252.245035,1.417396502,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2035,PADD2,HIGH,HEAVY,SOUR,999.9999997,1171.150963,1.43560931,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2035,PADD2,HIGH,HEAVY,SOUR,999.9999997,1238.36256,1.680322843,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2035,PADD2,HIGH,HEAVY,SOUR,1087755.906,132.0697163,900.9805246,165.1233477,499.3813778
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD2,HIGH,HEAVY,SOUR,1087755.906,109.5583597,931.6397049,138.7983932,516.3746682
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD2,HIGH,HEAVY,SOUR,1087755.906,143.2955472,1092.175946,178.2509212,605.3541823
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD2,HIGH,LIGHT,SWEET,5403.377999,916.6587733,2.249950993,1032.029918,1.950832337
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD2,HIGH,LIGHT,SWEET,5403.377999,842.4118935,2.327591745,949.3033388,2.018151177
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD2,HIGH,LIGHT,SWEET,5403.377999,884.5376977,2.692500331,996.2403102,2.334547166
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD2,HIGH,LIGHT,SWEET,421036.5553,160.051489,261.2164778,207.2060651,125.2486658
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD2,HIGH,LIGHT,SWEET,421036.5553,136.7955713,270.1627081,178.6502921,129.5382245
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD2,HIGH,LIGHT,SWEET,421036.5553,165.3722107,316.965476,213.7393408,151.9793212
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD2,HIGH,LIGHT,SWEET,1000,1161.03809,1.567950984,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD2,HIGH,LIGHT,SWEET,1000,1085.937724,1.586632975,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD2,HIGH,LIGHT,SWEET,1000,1134.46595,1.889400452,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD2,HIGH,LIGHT,SWEET,199134.7545,174.3498873,157.9885205,229.7819966,69.66957631
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD2,HIGH,LIGHT,SWEET,199134.7545,151.0117998,162.2125345,200.4534915,71.53227662
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2035,PADD2,HIGH,LIGHT,SWEET,199134.7545,177.5095714,193.4924954,233.7527081,85.32607389
Deep Conversion: FCC (4),4,SMR,PSA inlet,2035,PADD2,HIGH,LIGHT,SWEET,1101418.15,130.5795367,983.2366815,161.6770359,573.7399298
Deep Conversion: FCC (4),4,SMR,PSA outlet,2035,PADD2,HIGH,LIGHT,SWEET,1101418.15,108.1034756,1016.757685,135.6866037,593.3001624
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2035,PADD2,HIGH,LIGHT,SWEET,1101418.15,142.1350709,1191.992912,175.0394008,695.5537182
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2035,PADD2,HIGH,LIGHT,SWEET,1000,1234.687957,1.448589188,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2035,PADD2,HIGH,LIGHT,SWEET,1000,1152.845113,1.47017524,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2035,PADD2,HIGH,LIGHT,SWEET,1000,1223.065757,1.710160859,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2035,PADD2,HIGH,LIGHT,SWEET,1087755.906,127.7496097,1142.370023,150.7720512,1016.457722
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD2,HIGH,LIGHT,SWEET,1087755.906,105.388635,1181.323013,126.2506862,1051.117304
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD2,HIGH,LIGHT,SWEET,1087755.906,139.6426665,1384.371107,163.8141476,1231.785388
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD2,HIGH,HEAVY,SOUR,999.9999999,3258.166925,0.447945778,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD2,HIGH,HEAVY,SOUR,999.9999999,3002.414025,0.463232738,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD2,HIGH,HEAVY,SOUR,999.9999999,3194.335602,0.535080869,0,0
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD2,HIGH,HEAVY,SOUR,260678.0472,178.0498241,143.7056653,204.0188982,121.3786925
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD2,HIGH,HEAVY,SOUR,260678.0472,154.2822549,148.5939031,178.2104164,125.5074644
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD2,HIGH,HEAVY,SOUR,260678.0472,180.3609802,174.2557553,206.5285124,147.1823375
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD2,HIGH,HEAVY,SOUR,999.9999999,1576.051882,1.056335878,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD2,HIGH,HEAVY,SOUR,999.9999999,1473.029663,1.072610026,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD2,HIGH,HEAVY,SOUR,999.9999999,1560.752794,1.248958816,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD2,HIGH,HEAVY,SOUR,24834.76661,319.2325463,16.71677688,468.3424573,7.687153358
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD2,HIGH,HEAVY,SOUR,24834.76661,287.8348132,17.28506804,423.3296168,7.948480127
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2050,PADD2,HIGH,HEAVY,SOUR,24834.76661,306.2479452,20.41711422,449.7272988,9.388740979
Deep Conversion: FCC (4),4,SMR,PSA inlet,2050,PADD2,HIGH,HEAVY,SOUR,680597.1073,144.0510077,483.9001782,169.9116763,370.8515651
Deep Conversion: FCC (4),4,SMR,PSA outlet,2050,PADD2,HIGH,HEAVY,SOUR,680597.1073,121.4092491,500.3246435,144.8838391,383.4389518
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2050,PADD2,HIGH,HEAVY,SOUR,680597.1073,152.3644587,586.9570969,179.1012319,449.8323577
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2050,PADD2,HIGH,HEAVY,SOUR,999.9999999,1284.246201,1.369657684,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2050,PADD2,HIGH,HEAVY,SOUR,999.9999999,1201.750353,1.386561011,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2050,PADD2,HIGH,HEAVY,SOUR,999.9999999,1272.707875,1.620353046,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2050,PADD2,HIGH,HEAVY,SOUR,795298.5209,136.7085423,680.570406,150.1574137,1030.892913
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2050,PADD2,HIGH,HEAVY,SOUR,795298.5209,114.1940211,703.5908183,127.1868873,1065.763045
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2050,PADD2,HIGH,HEAVY,SOUR,795298.5209,147.045267,823.8500266,160.7034967,1247.925485
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD2,HIGH,LIGHT,SWEET,74192.30874,269.3262346,27.83008034,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD2,HIGH,LIGHT,SWEET,74192.30874,240.3341135,28.79936657,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD2,HIGH,LIGHT,SWEET,74192.30874,264.1256697,33.35497506,0,0
