Refinery configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd","Total Avoided CO2_Avg,kt/y","Avoidance Cost Ref, $/t","Avoidance Cost 0.5Ref, $/t","Avoidance Cost 1.5Ref, $/t"
Deep Conversion: FCC (4),4,CNR,2035,PADD1,LOW,HEAVY,SOUR,83726.72923,91.57384394,327.808343,326.9811018,329.8485137
Deep Conversion: FCC (4),4,FCC/RFCC,2035,PADD1,LOW,HEAVY,SOUR,83726.72923,122.2814613,223.537261,222.0545177,227.1940531
Deep Conversion: FCC (4),4,Coker,2035,PADD1,LOW,HEAVY,SOUR,83726.72923,61.85006674,350.5062308,349.1943435,353.7416518
Deep Conversion: FCC (4),4,Hydrotreater,2035,PADD1,LOW,HEAVY,SOUR,83726.72923,79.70164442,338.0552428,336.2919333,342.4039769
Deep Conversion: FCC (4),4,Steam Boiler,2035,PADD1,LOW,HEAVY,SOUR,83726.72923,20.78887811,464.4204687,461.8781179,470.6905011
Deep Conversion: FCC (4),4,SMR,2035,PADD1,LOW,HEAVY,SOUR,83726.72923,0.092265042,0,0,0
Deep Conversion: FCC (4),4,Others,2035,PADD1,LOW,HEAVY,SOUR,83726.72923,57.15199655,356.997239,354.8217079,362.362608
Deep Conversion: GO-HC (5),5,No Carbon Capture,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,ADU/VDU,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,CNR,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,FCC/RFCC,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,Coker,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,Hydrotreater,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,Steam Boiler,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,SMR,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,Others,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
